post_id,text,comment_time,from_id
262150,"Уинстон Черчеилль, став премьер-министром Великобритании первым распоряжением приказал: ""Исполнять только мои письменные приказы!"" 
Президент США работает исполнительными приказами, распоряжениями, которые публикуются после их исполнения или немедленно!!! 
 
Банда в Кремле не может издать такой Приказ и принять такой порядок работы, потому что все их приказы ПРЕСТУПНЫ! 
 
В Кремле давно нет мозгов, либо эти мозги в жопе... 
 
Что будут делать обезьяны в Кремле, если расследование шизофреников приведёт к самим шизофреникам или их друзьям в Белоруссии и Польше. 
 
А что будут делать в Кремле, если в ответ на эти глупые обвинения Белый Дом США захочет опубликовать материалы расследования 11 сентября 2001 года, когда Путин, Иванов, Патрушев под видеокамеру рассказывают, кивая на Ельциных, что это они отдали приказ на проведение террористического акта 11 сентября 2001 года вместе с друзьями в Европе, по заказу Европы... 
 
В китайской мифологии, то что делают слабоумные шизофреники в Кремле, называется ""Дёргать тигра за усы"".",1677989646,461379477
262150,Я знаю хорошую лечебницу где могут подлечить твою шизофрению.,1677995725,720738261
65544,поэтому у нас борьба с инфляцией превращается в борьбу с реальными доходами населения,1402837915,21083339
65544,Это что то новенькое.  А инфляцию потушить можно гиперинфляцией))),1402838179,4481124
65544,"[id4481124|Виктор], смотри на график роста денежной массы и снижение инфляции. Факт есть факт. Выкинь свою методичку по экономике теперь",1402839696,20583659
65544,"[id21083339|Евгений], у нас борьба с инфляцией превращается в борьбу с экономическим ростом. Источника дешевых длинных денег в стране нет.",1402839846,20583659
65544,"График инфляции и роста денежной массы со страницы ""Инфляция"" с Википедии. Рост массы не сразу поднимает инфляцию, а лишь про прошествии некоторого времени. Плюс - темп инфляции очень агрегированный показатель и не отображает всей картины. В следствии вброса денег на какие-то виды товаров цены могут повышаться, но при этом цены на другие товары могут понизиться в следствии других факторов - снижения издержек, например. На компьютерную технику цены понижаются, невзирая на инфляцию.",1402840381,3821620
65544,"Факт, конечно факт, но в экономике есть такая беда - нельзя зафиксировать один фактор, чтобы понять от чего меняется другой. То бишь всё меняется одновременно. Падение темпов инфляции с 99 до 08 гг., почти наверняка объясняется ростом производства. Если ден.масса выросла на 10%, а производство на 5%, то грубо инфляция будет 5%. На этот период как раз пришлось восстановление всей нефтянки, стимулирование её к большей доле переработки, модернизация металлургии, развитие ритейла, восстановление с\х, некоторый рост химии. Сейчас же производство не растёт, источники существенного прироста выпуска закончились, и не из-за дороговизны кредитов. Набиуллина, по видимому, пытается разломать т.н. инфляционную спираль, когда в экономике все адаптировались к стабильно высокой инфляции и, например, всё индексируется на её темп, что в следующем витке опять же подстёгивает инфляцию. Эти ожидания нужно разбивать. Параллельно, к примеру, идёт либерализация электроэнергетики - существенного источника этой индексируемости. ИМХО в нынешних условиях все проблемы с ростом ВВП уже связаны не с ден.массой, а со структурой экономики и ограниченностью притока иностранных инвестиций и технологий. Это, в общем, понятно и из известной модели Солоу. Хотя для интересующихся есть и полноценные оценки потенциального темпа роста ВВП России, которые показывают то же самое.",1402843158,7913923
65544,"[id7913923|Егор], зачем равняться на иностранные инвестиции это бред какой то, в стране должен быть создан мощный инвестиционный институт, а ЦБ должен обеспечить страну длинными деньгами. З@еб@ло слушать про сказки ""иностранных инвесторов""",1402843844,20583659
65544,"[id20583659|Никита], смотри на рост цен на все товары, услуги и ЖКХ...",1402844023,4481124
65544,"Никита, мы скоро к этому и придём.",1402844023,75652977
65544,"Я бы тоже предпочёл, чтобы можно было развиваться за счёт только внутренних ресурсов. К сожалению развитые страны тоже любят заниматься шантажом в рамках проведения внешней политики, что не очень удобно России. Иностранные инвесторы нужны не столько ради денег, здесь ещё можно выкрутиться как-то, а ради технологий. Если раскупорить Фонд нац. благосостояния, как это сделали сейчас, то появится, например, 3 трлн. руб. http://www.minfin.ru/ru/nationalwealthfund/statistics/volume/index.php?id_4=6412
Однако куда их можно пустить? На расширение Транссиба? Это, конечно, хорошо (правда хорошо, давно пора), но этим в норме надо заниматься стабильно в рамках доли бюджета, а не единоразово из стратегических запасов. Но даже в этом случае расширение железной дороги не создаст высокотехнологичных рабочих мест, не создаст спрос на наукоёмкую продукцию, чтобы поддержать в стране уровень научных разработок тех самых учёных и инженеров, которые из-за этого вынуждены уезжать на запад. Если бы сейчас можно было построить небольшой завод, скажем, по производству станков не хуже немецких, не важно чьи это инвестиции. Вот сам завод стоит, скажем, 10 млн. долл., немного, но для производства станков нужны компоненты, значит нужно напрячь подрядчиков, чтобы тоже повышали уровень, модернизировались, строили новые мощности, это мультипликативный эффект ещё раз в 5 больше + более дешёвые станки для покупателей в России и более удобные условия для них же. Это снизит себестоимость их продукции. Если так, то они смогут нарастить производство и возможно начать работать на экспорт, это ещё добавка в раза 2-3 от стоимости первоначального завода. Собственно поэтому и борются именно за иностранные, причём западные инвестиции, потому что внутри страны нет прикладных технологий производства товаров. А европейские, например, технологии хорошо работают даже при их высоких зарплатах, что позволяет надеяться, что эту схему можно повторить, ибо бороться с китайцами, например, не возможно априори, в России никто не будет работать за их зарплаты. Можно было бы к японцам, например, обратиться, чтобы не убивать экономику, когда захотелось с европейцами пособачиться, но там тоже вот из-за горстки пустых островов никак мирного договора подписать не могут со 2 мировой ещё. Технологии много где есть, просто руководство страны слишком гордое, чтобы немного подужаться и начать эти технологии активно привлекать. Ну и коррупция, конечно, её нельзя победить пока политическая власть в руках её источника.",1402844915,7913923
65544,"[id7913923|Егор], ни кто и никогда такие технологии России не передаст, вспомни как бортанули СБЕРБАНК с покупок ой Опеля, промышленный шпионаж нужен, вообще конечно иностранные инвестиции нужны но это не есть сколь либо основой движитель экономического роста. Нужна низкая процентная ставка, ЕЦБ, ФРС, японский цб держат очень низкие ставки.",1402845401,20583659
