post_id,text,comment_time,from_id
1507328,Коррупция в Москве и на Кавказе цветёт пышным цветом!,1688037038,429407576
401409,Бедный рубль...сколько его знаю все время падает...инвалид какойто,1534319053,464699721
401409,"[id464699721|Ironik], это обозначает, что становится всё больше олигархов.",1534319438,236132417
401409,"[id236132417|Наталья], ну это хорошо...может и до нас олиргархическая очередь дойдет",1534319524,464699721
401409,"[id464699721|Ironik], на том свете.",1534319832,379622292
401409,"[id379622292|Ирина], блин...и там тоже очереди...",1534321427,464699721
401409,Да вот чего то не удивили...,1534324089,241518386
401409,наоборот вырос по отношению к баксу ( был 68 - сейчас 66.6),1534324630,260415680
344066,Не летал ни разу,1526038900,468860726
344066,Ижевск кормит,1526039864,65354607
344066,С такими ценами там ещё и интим топовый должен быть,1526043087,263639645
344066,"Ахахахах, господа, это трэш полный.  Цены конечно впечатляют.",1526056478,281785673
344066,"[id281785673|Алексей], я смотрю кацапы себе новый язык создали))",1526084621,448870570
1400833,"Напомню, там люди получают процент с продажи нефти. Кто из сторонников путна объяснит почему в РФ не так?",1678909855,42597336
1400833,51 доллар для олигархов РФ станет поводом задуматься.,1678913471,224324297
1400833,"В статье говорится что начали смешивать нефть саудовскую с российской. 
И не будут продавать коктейль ниже потолка.
Вроде так.",1678932360,308627349
1400833,"Заступился хоть кто-то за старого плешивого диктаторчика. Все обижают пынечку, а добрые Саудиты пожалели.",1678954107,729558369
1400833,Супер,1678966113,740322611
81925,"Идеи трезвые ! Конечно , реформы самый простой и в тоже время действенный путь. Стоит только захотеть.P.s. И Конечно повышать производительность труда . Всем и вся",1453209296,3018219
81925,"Инертная масса очень быстро будет превращена в разьяренное стадо, обвиняющее оставшиеся 15% во всех бедах. Проходили уже.",1453237719,102860197
655366,Всё назло пенсионерам!,1574952852,269778992
655366,"А как же ведь 1000р.добавили пенсионерам,надо же и компенсировать.""А то вон как жируют"" ВСЁЁЁ им не почём"".",1574952915,122862623
655366,"На ""радость"" людям",1574953286,321026531
655366,"Они и так повышаются, без всяких заявлений. Такими темпами, лет через 10 литр будет стоить 500 руб.",1574953500,244173748
655366,...кто бы сомневался. ....,1574955320,567054828
655366,"ФАС таки не забросила рынок бензина, интересно.",1575277671,407599423
