post_id,text,comment_time,from_id
13441026,"Остановили и ладно, потом запустят снова. Лишь бы у людей все хорошо было.",1670060002,477316780
13441026,"Дед, походу, боролся с зарождением новой вселенной, вот и начал войну",1670060145,737256427
13441026,Троли пукинские. Смысл вашей жизни?,1670060556,296013061
13441026,С головой дружите?,1670060600,296013061
13441026,"Поэтому у них люди и не сидят в холодных квартирах, как у нас сейчас",1670060620,461072167
13441026,Как можно доверять челу который не раз нас наебывал..,1670060645,296013061
13441026,Вы одно не поймёте. Седня вам сладко.. За утра будет мрак. Живете одним днем,1670060711,296013061
13441026,Завтра,1670060735,296013061
13441026,тут уже давно остановилось всё,1670061019,7294948
13441026,"Вова на открывают, червоточин , ищут эту частицу когда всельная типо взорвалась ,хотят энергию червоточин использовать в потребление , а вдруг с 4 измерения вылизит бог Кузя и даст вам пиз..... Ды что суете нос туда что не подвластно",1670061785,483160865
13441026,"Мир прогрессирует куда то двигаться, а нас  москвичь китайский придумали",1670063205,598510642
13441026,"Электричество у них кончилось, что ли? Дожили, блин, что электричества нет. Обратились бы к России. У нас с электричеством проблем нет.",1670065566,475427334
13441026,Большого огромного,1670077270,753828362
13441026,"😁 Вот ведь как гейропейцы стремятся к знаниям.. Как всегда, ни чего ради науки не жалеют.. 🤣",1670154710,267728760
15640579,"Так и до гендерной теории недалеко!
Все началось с газов!)))",1706245927,200283231
15640579,Оказывается в роду кандидата в президенты Б.Надеждина были священники.,1706245960,174554693
15640579,"А за озеленение (в жарком климате)- понижающий коэффициент, так как в летом озеленение понижает нагрев асфальта, бетона, металла на 40%!!!",1706245975,231269892
15640579,потреблять надо жёстко ограничивать...но среди вас нет антигероя с его крайне не попу ярными мерами..а значит все ваши патуги как мёртвому припарка..,1706245991,828758636
15640579,"Может не надо больше двигаться в форваторе глаболистического русла который запад прокладывает исключительно в своих интересах. Неужели нас жизнь не чему не научила? Так же остаемся глупыми, доверчивыми и в конце обобранными и обманутыми.",1706246160,241290749
15640579,Повестка вэф полным ходом...,1706246316,86895360
15640579,"Лишь бы содрать.
Есть выбросы, которые губят живое, а есть выбросы, такие как углекислый газ, которые являются питанием для растений !",1706246499,710330763
15640579,"Пёрнуть - это же парниковые газы. В ЕС уже с коровами борются, которые много серут.",1706246550,829013725
15640579,Это ещё Чубайс предлогал,1706246562,476568718
15640579,Давно пора,1706246632,583934552
15640579,А кто платить то будет? Конечно же простой люд😂,1706246768,240208460
15640579,Деньги стали заканчиваться,1706246783,1517910
15640579,"Плата за вред экологии должна направляться на восстановление ущерба. Но мы пойдём другим путём... Куда пойдет это бабло, понятно даже крмлеботам))",1706246984,9944643
15640579,"Может России пора остановиться. Уже и озоновые дыры латали, и от советских самолётов отказывались, и фреон в холодильнике мешал. Теперь новые идеи глобализации поддерживать?",1706247037,711252510
15640579,Новая обдираловка,1706247283,200723025
15640579,,1706247616,219176182
15640579,Копируют олигархи России все из США —- пуповины связаны с ВОЗ и США,1706248274,519849594
15640579,"Лучше бы собирали эти газы, прогоняли через энергогенерирующие турбины, путем нагрева, а выхлоп прогоняли через сажевые фильтры, чтобы на выходе был конденсат обычной воды...",1706248383,243919869
15640579,Нак народ перенесут в коммунальные услуги.. в отопление.,1706248690,243528315
15640579,"Стремление найти собственные лекарства, от собственных головных болей.",1706249350,177715978
15640579,"Мы не ослышались??? Скоро третий год воюем с супостатом, и при этом ложимся под очередную швабовскую дурильню???",1706249504,40643017
15640579,И что изменится? Выпустил.. И заплатил и дальше гадить,1706249901,277787352
15640579,Соберут миллион а потратят из бюджета миллиард😂😂😂😂,1706250177,475496840
15640579,"Ну вот дошутились про налоги ""за воздух"". Тупые головы в действии, не могут ни одного правильного закона принять, докатились, дальше ехать уже некуда",1706251050,21479540
