post_id,text,comment_time,from_id
2359296,Тогда увольнять надо всех.,1548323467,237172012
2359296,Да неужели? Вот смеху-то.,1548323498,215225077
2359296,Давно пора,1548323716,173709592
2359296,🤣,1548323724,45506338
2359296,"Чиновники должны декларировать не только доходы, но и расходы. Все должны знать откуда берутся предметы роскоши, недвижимость, автомобили у слуг народа.",1548323851,463365002
2359296,Популизм. Просто у детей и родителей добавится еще пара счетов.,1548323909,150535250
2359296,"Интересно, почему всё-таки сын генпрокурора Чайки построил пятизвездочный вип-отель за 400 млн евро( 30 млрд руб) в Греции, а не в Крыму...",1548324113,69966560
2359296,А если найдут вклад? Что дальше?,1548324422,307681080
2359296,"Сможет ,но не станет )",1548324562,235552250
2359296,как вовремя то....🤣,1548324897,9874841
2359296,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻Давно пора.,1548328508,106420939
2359296,Это надо было сделать ещё во времена правления Ельцина.,1548332935,226899928
2359296,Вспомнили.здравствуй ж... новый год.,1548333820,505790773
4079619,Так она же первая всех обманывает,1631869620,53570462
4079619,Точнее не скажешь.,1631869777,161566174
4079619,"ставку 3 % и банки сук пилить не будут а будут привлекать клиентов будет улучшаться экономическая ситуация, строительство пойдет в верх",1631869808,83406912
4079619,"Задача банка-это получение прибыли любой ценой (конечно же в рамках закона 😉)
Ростовщичество никто не отменял...",1631870466,350759818
4079619,"А ты пилишь сук ,на котором вся страна сидит",1631870626,154577142
4079619,Сказочница,1631870786,2599388
4079619,"мысли правильные, слова тоже, но не в наше время. Люди, в банках работающие, не приемлют человечность и заботу.",1631873818,196242472
4079619,"просить о честности и порядочности ростовщиков и кидал, это тоже самое как писать против ветра...",1631880105,2451613
1316872,,1493406291,18215104
1316872,Цены поднимутся )),1493406420,169267212
1316872,"[id18215104|Юрий], да так! Это наше руководство сдает экзамен на звание Человека!...",1493407611,233920349
1316872,"после того как цель будет достигнута 4% инфляции,можно будет присматриваться к покупке валют.офз для населения на 3 года тоже не просто так!",1493407823,60040739
1316872,"[id233920349|Зайцев], сдает, а казалось бы уже и сдавать некуда...",1493411662,88431962
1316872,"[id88431962|Александр], в 1000 раз нас больше щемят, чем вЕвропе..., а мы крепчаем...а Человекам все мало?!",1493431216,233920349
1316872,"А чего о ней знать, ставку то поднимут то опустят а что самое интересное нам всё равно как то хреновато...",1493488022,42224626
5302282,"А если так - Россия может напрямую вмешаться в конфликт на Украине, чтобы ""вернуть себе, как они считают, свои исторические территории"". Хотя это другое😏",1689959559,733925642
5302282,А Померания? А Венгрия может тоже вмешаться? А Словакия? Да и Беларусь.,1689959891,346562766
5302282,"Кто-то действительно верит, что Польша хочет захватить часть Украины???",1689960012,813621802
5302282,а почему бы и нет? Украины скоро не будет,1689961945,542860411
5302282,"Если Польша заберёт к себе Западенцев,то остальные сразу переоборудуются из украинцев в малороссов.",1689965139,236568084
5302282,"у нас прав не меньше на Львов, чем у Польши, и за права свои мы заплатили 27 миллионов жизней. а польша сколько заплатила? так что пусть на наш каравай рта не разевает- останется без тех территорий, которые сейчас есть.",1689965740,39544696
5302282,"Откуда у Польши территории?, пусть Германии вернут что им СССР дал !",1689970697,92039541
5302282,"Прежде чем ворачивать территории , следует вернуть разум и понять зачем это нужно Байдену .",1689971232,662612768
5400587,расскажите лучше про рубль и его самостоятельность),1694007186,460581962
5400587,"что за ложь! все страны зависимы, все кроме гегемона не могут печатать свои деньги. и мы не можем. мы печатаем ровно столько, сколько вливает в нас сша.",1694007396,39544696
5400587,"Многих оправданно тревожат контуры осенней мобилизации. Например, из-за этого накручивают сейчас цены на авиабилеты. Запугивая тем, что, мол, после ЕДГ закроют границу. Это фейки. 
Реальность будет другой. 
Прошлый год показал, что многие вещи были ошибочны и неэффективны. Например требование квот с госкорпораций и промышленных предприятий. Рабочие руки надо беречь. Год назад просто оголились тылы. 
Уже есть база из 25.000 мигрантов, получивших гражданство РФ и имеющих боевой и силовой опыт. Дворников ГБУ «Жилищник» забривать не будут. От них нет толку. 
Силовиков в итоге призовут в вилке от 75.000 до 90.000 (из базы в 200.000 - уточнение предыдущего поста) из всех федеральных ведомств. 
Кроме того, айтишников будут фильтровать до зоны СВО, если кто-то случайно попадется - их вернут домой. 
Вообще нынешняя мобилизация будет ради удержания позиций и для заморозки. Не для штурмов. 
Аэропорты Москвы и регионов плюс Минск уже готовы к ограничению выезда и обладают базой призывников по частичной мобилизации. 
Ни В. Путин, ни С. Шойгу объявлять её не будут, как это было год назад. Или Герасимов в интервью, или пара подруг Собчак/Венедиктов. 
. Посмотрим. Все решится на Совбезе 15 сентября.",1694007487,675133858
2773005,"ставку рефинансирования до 1% снизьте, товарищ Эльвира, и всё будет хорошо",1573070469,39906330
2773005,"Где деньги, Зин?",1573070478,35332365
2773005,Ещё два-три усиленных налога и экономика попрет.,1573070602,64169821
2773005,нас удивляет её удивление,1573070624,5151086
2773005,"зачем расти экономике при снижении популяции? чтобы кормить паразитов в банковской сфере? Нет, общество должно учиться экономить ресурсы и производить меньше, но надёжней.",1573071008,250977338
2773005,"Наверное регулятор наибулина не знает ,что росту экономике способствуют : рост налогового бренеми, увеличение штрафов за лишние движения, ограничение деятельности малого бизнеса, повышение ставок кредитов, создание новых  фискальных органов, повышение пенс возраста, сокращение рабочей недели с сохранением зарплаты, увеличение  доли платной медицины  и т д . Вот всему учить приходится министров.....😆. Надо покрутить регулятор, чтоб настроилась на народную волну, ибо регулятор для народа, а не народ для регулятора!",1573071998,182929975
2773005,А министерство экономического развития этим не занимается?,1573073222,144531910
2773005,В голосину....😂😂😂😂😂😂😂,1573074200,69966560
2773005,"Посодют дуру в министерское кресло, а ты иди, воруй!",1573074492,317625915
2773005,"Да надо просто обнулить доллар, а Рубль сделать валютой и тогда не надо повышать пенсии и зарплаты...покупная способность увеличится в 10-ки раз и перейти в экономике на рублевую систему финансирования, обрушим амеров и их партнеров...больно будет всем им. Зато мы начнем активно развиваться...без срывов.",1573085565,562237842
2773005,"Ба. Орешкин уволится. Не надо так резко,мягче нужно с людьми,мягче.",1573090628,510425105
1601549,Криптовалюты  - тупо отмывание бабла,1508846592,29599595
1601549,"[id15450714|Серёжа], это нормально,дань платим за проживания на этих территориях.",1508846843,171854981
1601549,"Все одно и тоже, из века - век!",1508847398,13518085
1601549,Сплошное мошенничество...,1508847454,453294719
1601549,"[id322498964|Сергей], криптопрезидент?)",1508848290,440424482
1601549,"[id322498964|Сергей], всем известно, что вся Россия за него- да и весь мир! Смиритесь!",1508848685,4829607
1601549,"[id322498964|Сергей], проплаченная, демократическая ""групповуха""? )",1508848714,440424482
1601549,"[id322498964|Сергей], это какая- то таки, диктатура получается,а не демократия ),""поголовно обязательный допуск к информации"" ),а я м.б. знать ничего не знаю, и знать не хочу! )",1508849342,440424482
1601549,"[id440424482|Extra], да да, тирания",1508849519,834443
