post_id,text,comment_time,from_id
1155082,фамилия набиулин..один я читаю всегда наебулин?,1592546785,423137420
1155082,А можно мне тоже что нибудь у них попросить?,1592546958,58293669
1155082,А можно и людям под 2%??,1592547716,155406182
1155082,Ну я в принципе не против 😏,1592547738,51483729
1155082,О поддержке трудящихся тоже не стоит забывать. В поправках к Конституции есть положение приравнять МРОТ к прожиточному минимуму. Мне кажется это куда важнее.,1592548294,353046786
1155082,В диалоге замечено присутствие кремлеботов!,1592548922,118070728
1155082,"Говорящая голова опять делает вид, что печется за бизнес",1592551945,599555829
1155082,"даже не пытаются как то сделать паузу ,хотя бы не бесчинствовать до поправок!!",1592553717,231650964
1155082,🤣🤦‍♂️,1592631707,16951804
1597474,Потому что,1663561055,209726788
1597474,,1663561064,209726788
1843239,Мелочь а приятно...,1687440516,290756325
1843239,"Всё что выведено из России, финансирует ее врагов и работает против России. Вредная колониальная теория грабежа рабских стран через валютные резервы продолжает действовать.",1687441888,710313517
974891,Ростовщики рулят колонией РФ Ресурсной Федерации,1568317603,222766319
974891,Хоть кто-нибудь получил по страховке полагающуюся сумму? Напоминает МММ,1568318455,554130525
974891,"Новоизбранные депутаты Мосгордумы, поддержанные «Умным голосованием», приняли первое совместное заявление. В нём они потребовали отправить в отставку главу МГИКа Валентина Горбунова, закрыть сфабрикованные дела, освободить политзаключённых, отменить результаты электронного голосования и расследовать коррупцию в московских и федеральных органах власти. 
 
Подробности — в посте московского штаба: 
. 
Команда Навального | Москва 
вчера в 20:58 
Новое достижение «Умного голосования»: избранные москвичами, а не Собяниным, депутаты Мосгордумы потребовали: 
 
— отправить главу Мосгоризбиркома Валентина Горбунова в отставку; 
— освободить всех незаконно осуждённых за участие в мирных акциях протеста; 
— провести расследования о коррупции в мэрии; 
— отменить результаты электронного голосования. 
 
Первыми это заявление выпустили даже не депутаты Яблока, а КПРФ. Мы надеемся, что новые московские депутаты и дальше будут защищать интересы горожан. 
 
Против репрессий, против произвола, против коррупции, за москвичей. Первое заявление избранных депут 
navalny.com",1568319345,478627854
1212464,"По многочисленным просьбам трудящихся — Путин принял решение до назначенных в 2021 году выборов в Государственную Думу р̲а̲с̲п̲у̲с̲т̲и̲т̲ь̲ п̲а̲р̲т̲и̲ю̲ ̲ч̲̲̲м̲̲̲о̲̲̲ш̲̲̲н̲̲̲и̲̲̲к̲̲̲о̲̲̲в̲̲̲ ""Единая Россия"". 
 
Причиной этому является п̲о̲с̲т̲о̲я̲н̲н̲о̲е̲ ̲з̲а̲м̲а̲л̲ч̲и̲в̲а̲н̲и̲е̲ ̲п̲р̲е̲с̲т̲у̲п̲л̲е̲н̲и̲й̲ ̲к̲о̲р̲р̲у̲п̲ц̲и̲о̲н̲н̲о̲г̲о̲ ̲х̲а̲р̲а̲к̲т̲е̲р̲а̲ ̲п̲р̲е̲д̲с̲т̲а̲в̲и̲т̲е̲л̲я̲м̲и̲ ̲р̲е̲г̲и̲о̲н̲а̲л̲ь̲н̲ы̲х̲ ̲и̲ ̲м̲е̲с̲т̲н̲ы̲х̲ ̲в̲л̲а̲с̲т̲е̲й̲.",1603894439,161405401
