year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,184,1878,-1098.20439583189,2746,153,1608,-931.2663331025001,-0.3437259454872895,-0.339135591078842,0.004590354408447517,0.5011475886021118,0.5000854564955485
2015,4527,239,2852,-1684.99863827863,3102,154,1819,-1085.6180083138,-0.3722108765802143,-0.34997356812179237,0.022237308458421923,0.5055593271146055,0.5101132406079321
2016,5264,282,3305,-1934.41595534326,4738,229,2939,-1711.9095986998777,-0.367480234677671,-0.3613148161038155,0.006165418573855497,0.5015413546434638,0.5005767048990186
2017,3570,194,2079,-1239.46123906766,2450,131,1319,-786.58773062115,-0.3471880221478039,-0.3210562165800612,0.026131805567742694,0.5065329513919357,0.5107783113245298
2018,5753,327,3125,-1803.493470516284,3016,186,1560,-923.44919063726,-0.3134874796656152,-0.3061834186463064,0.007304061019308805,0.5018260152548272,0.5076961633671926
2019,4235,327,2226,-1246.088801925617,2312,120,1218,-705.723475744805,-0.2942358446105353,-0.3052437178827011,-0.011007873272165791,0.4972480316819585,0.4933731611263854
2020,5084,324,2741,-1559.60089494394,2890,182,1558,-877.1496794977301,-0.30676650175923287,-0.3035119998262042,0.003254501933028675,0.5008136254832571,0.49982212327704256
2021,6254,388,3496,-2036.0904776881268,3219,183,1788,-1058.997974796277,-0.3255661141170654,-0.3289835274297226,-0.0034174133126572137,0.4991456466718357,0.499589973507356
2022,31795,2541,16804,-9078.740635290167,14320,1100,7683,-4218.441221238412,-0.2855398847394297,-0.2945838841646936,-0.009043999425263904,0.497739000143684,0.49722146052179594
2023,58015,4995,31658,-17192.727780412737,18654,1470,10493,-5687.812754046794,-0.296349698878096,-0.3049111586816122,-0.008561459803516247,0.49785963504912095,0.4939712025966525
2024,72779,5310,38789,-21961.802102449936,17086,1275,9077,-5000.55045641568,-0.3017601520005762,-0.2926694636787826,0.009090688321793605,0.5022726720804485,0.5008444771339868
