year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,487,1863,-1136.27412589626,2746,416,1547,-937.8924905764661,-0.3556413539581409,-0.34154861273724185,0.014092741220899041,0.5035231853052248,0.5047002782251492
2015,4527,661,2743,-1744.99799331627,3102,463,1814,-1106.62621773749,-0.3854645445805765,-0.35674604053432946,0.02871850404624704,0.5071796260115617,0.5060954389715864
2016,5264,779,3156,-1964.10690511997,4738,636,2840,-1806.9458284074199,-0.3731206126747663,-0.3813731170129632,-0.008252504338196909,0.4979368739154508,0.4965956428398219
2017,3570,504,2049,-1247.22839207024,2450,322,1338,-806.24848852452,-0.34936369525777033,-0.3290810157242939,0.020282679533476455,0.5050706698833691,0.5045198079231693
2018,5753,882,3063,-1763.890820430456,3016,459,1606,-929.86721385212,-0.3066036538206946,-0.30831141042842175,-0.001707756607727151,0.4995730608480682,0.49970037832873265
2019,4235,699,2229,-1232.8485932831659,2312,333,1235,-720.35130517268,-0.29110946712707575,-0.3115706337252076,-0.020461166598131852,0.49488470835046705,0.4927841700608294
2020,5084,786,2721,-1509.0691299816,2890,435,1546,-879.85648030058,-0.29682713020881196,-0.3044486091005467,-0.0076214788917347565,0.4980946302770663,0.4990441891108274
2021,6254,895,3513,-2094.22141138465,3219,447,1809,-1103.57511365019,-0.3348611147081308,-0.3428316600342311,-0.007970545326100309,0.4980073636684749,0.4988748300807893
2022,31795,5689,16361,-8479.644411419496,14320,2446,7504,-4066.030167641238,-0.26669741819215276,-0.28394065416489095,-0.01724323597273819,0.49568919100681547,0.4956094922429917
2023,58015,10530,30565,-16001.06396468098,18654,3349,9933,-5381.00661120055,-0.27580908324883185,-0.2884639547121556,-0.012654871463323725,0.4968362821341691,0.4980969829741555
2024,72779,11747,38337,-21141.780512302157,17086,2833,8963,-4900.5955931981725,-0.29049286899108473,-0.2868193604821592,0.003673508508925505,0.5009183771272314,0.501644844567897
