year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,517,1780,-876.2609492130578,2746,396,1519,-789.3976131118834,-0.27426007800095703,-0.28747181832188035,-0.013211740320923315,0.49669706491976917,0.4965866698125143
2015,4527,710,2639,-1340.5969545282423,3102,447,1719,-878.3964894860983,-0.29613363254434333,-0.28317101530822,0.012962617236123353,0.5032406543090309,0.5040129948869004
2016,5264,857,3034,-1531.8784390166402,4738,829,2630,-1261.5867033526301,-0.2910103417584803,-0.26626988251427397,0.024740459244206314,0.5061851148110516,0.5083614091141787
2017,3570,492,2008,-1100.2493492402136,2450,296,1304,-721.5419686883688,-0.3081930950252699,-0.2945069259952526,0.013686169030017348,0.5034215422575044,0.5033053221288515
2018,5753,742,3245,-1807.4921869114041,3016,404,1688,-924.4897201322019,-0.31418254596061257,-0.30652842179449663,0.007654124166115939,0.501913531041529,0.5023369769941274
2019,4235,703,2382,-1214.221063733101,2312,318,1303,-741.0169197618961,-0.2867109949783001,-0.3205090483399205,-0.033798053361620395,0.4915504866595949,0.49260500627086035
2020,5084,815,2926,-1524.9710128493607,2890,421,1662,-895.9347232952714,-0.29995495925439825,-0.3100120149810628,-0.010057055726664543,0.49748573606833385,0.49645311704540196
2021,6254,907,3649,-1989.4150652773678,3219,416,1908,-1065.1638027578592,-0.31810282463661144,-0.33089897569364995,-0.012796151057038518,0.4968009622357404,0.4937353545113544
2022,31795,5597,17591,-8371.784254834056,14320,2321,8139,-4093.947376728058,-0.263305055978426,-0.2858901799391102,-0.022585123960684184,0.49435371900982894,0.4927360519687488
2023,58015,11611,31242,-13915.430734936148,18654,3540,10360,-4804.939076464623,-0.23985918701949752,-0.2575822384724254,-0.01772305145292788,0.49556923713676804,0.4931931933915968
2024,72779,12216,40135,-20147.383764695376,17086,2907,9383,-4526.097628951073,-0.2768296316890226,-0.2649009498391123,0.011928681849910305,0.5029821704624776,0.5011474107053181
