year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,131,2341,-1082.382174770477,2746,99,2014,-925.7433197667635,-0.3387737636214325,-0.3371242970745679,0.0016494665468645975,0.5004123666367162,0.49858194648183674
2015,4527,168,3388,-1574.4310135065452,3102,118,2262,-1057.094723430877,-0.34778683753181916,-0.340778440822333,0.007008396709486164,0.5017520991773715,0.5050302098861804
2016,5264,227,3955,-1834.948211133373,4738,183,3514,-1676.082806400272,-0.34858438661348273,-0.35375323056147573,-0.005168843947992996,0.4987077890130017,0.5012918574648993
2017,3570,137,2616,-1244.7602249038166,2450,92,1731,-841.4687085478586,-0.34867233190583097,-0.3434566157338198,0.0052157161720111644,0.5013039290430028,0.5063545418167267
2018,5753,219,4092,-1903.1849012148286,3016,121,2134,-1024.7182445667324,-0.3308160787788682,-0.339760691169341,-0.008944612390472784,0.4977638469023818,0.5014434142537096
2019,4235,230,3047,-1406.670086693523,2312,110,1641,-799.3426782080444,-0.33215350335148125,-0.3457364525121299,-0.013582949160648672,0.4966042627098378,0.5007434901525024
2020,5084,241,3680,-1725.8524823002278,2890,122,2127,-1012.4118536483268,-0.33946744341074503,-0.3503155202935387,-0.010848076882793656,0.4972879807793016,0.49566606274110514
2021,6254,266,4652,-2201.4528712090228,3219,121,2431,-1158.661944461441,-0.3520071748015706,-0.3599446860706558,-0.007937511269085151,0.4980156221827287,0.4959242487417559
2022,31795,1996,22501,-10088.703507477281,14320,821,10352,-4688.502824202138,-0.317304717958084,-0.32740941509791466,-0.010104697139830643,0.49747382571504234,0.49483502410694913
2023,58015,3997,41544,-18545.177273253943,18654,1147,13720,-6146.647355336897,-0.31966176459974044,-0.3295082746508468,-0.009846510051106372,0.49753837248722343,0.4932959387589755
2024,72779,3835,52444,-24266.295780988945,17086,917,12397,-5689.064859713425,-0.3334244188706762,-0.33296645556089344,0.0004579633097827607,0.5001144908274457,0.49900089705847306
