year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,157,2661,-1946.913253691131,2746,122,2284,-1710.5547075078764,-0.609362520717099,-0.6229259677741721,-0.01356344705707313,0.4966091382357317,0.4990993871296078
2015,4527,189,3774,-2861.4757982135816,3102,118,2602,-1932.1863974940063,-0.6320909649245817,-0.6228840739825939,0.009206890941987789,0.5023017227354969,0.49778537030556824
2016,5264,227,4461,-3358.9302354484125,4738,190,4043,-3073.753478983299,-0.6380946495912638,-0.6487449301357744,-0.01065028054451056,0.49733742986387236,0.49777974527874613
2017,3570,150,3017,-2199.8744365377725,2450,118,2022,-1462.9303145183812,-0.6162113267612808,-0.5971144140891352,0.019096912672145527,0.5047742281680364,0.5064845938375351
2018,5753,275,4738,-3380.233948352643,3016,138,2528,-1759.1950098427758,-0.5875602204680416,-0.5832874701070212,0.004272750361020372,0.5010681875902551,0.495832211403023
2019,4235,160,3648,-2555.083326844116,2312,67,2011,-1421.7168462607578,-0.6033254608840888,-0.6149294317736842,-0.011603970889595416,0.49709900727760115,0.49569557526462216
2020,5084,205,4360,-3119.364743473834,2890,111,2476,-1781.4661244508093,-0.6135650557580319,-0.616424264515851,-0.0028592087578190872,0.49928519781054526,0.49973269147525723
2021,6254,229,5463,-3982.092545951468,3219,115,2805,-2040.0727333002603,-0.6367273018790323,-0.633759780459851,0.0029675214191812183,0.5007418803547953,0.5003102829349204
2022,31795,1680,26961,-18711.95339468196,14320,715,12264,-8702.819651980444,-0.5885187417732964,-0.6077388025126008,-0.01922006073930438,0.4951949848151739,0.4971576515623394
2023,58015,3324,49196,-34557.075375256754,18654,872,16059,-11664.764338675579,-0.5956575950229553,-0.6253224154967073,-0.029664820473751963,0.492583794881562,0.494137580840113
2024,72779,3632,61845,-43492.5562448328,17086,702,14655,-10584.121321491077,-0.5975976070684236,-0.6194616248092636,-0.021864017740840014,0.49453399556479,0.49580658714247305
