year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,142,2012,-997.2841389173066,2746,119,1709,-847.790832604968,-0.3121390106157454,-0.3087366469792309,0.0034023636365144716,0.5008505909091286,0.5015663699767595
2015,4527,202,2954,-1509.2445303393702,3102,133,1940,-987.7666307969101,-0.3333873493128717,-0.3184289589932012,0.014958390319670445,0.5037395975799176,0.5063451763094333
2016,5264,233,3506,-1768.7482184404664,4738,202,3101,-1580.0571609212768,-0.33600840015966305,-0.3334861040357275,0.0025222961239355635,0.5006305740309839,0.502477242940412
2017,3570,172,2159,-1087.8829838405682,2450,119,1404,-721.5278175554905,-0.3047291271262096,-0.2945011500226492,0.010227977103560382,0.5025569942758901,0.5080232092837135
2018,5753,272,3316,-1621.1830624129454,3016,144,1638,-797.4753154810788,-0.281797855451581,-0.2644148924008882,0.017382963050692757,0.5043457407626732,0.5084392885086826
2019,4235,209,2427,-1158.3776434090337,2312,109,1289,-639.6338188043162,-0.2735248272512476,-0.27665822612643437,-0.003133398875186766,0.4992166502812033,0.5033375479506338
2020,5084,263,2985,-1442.65315452434,2890,134,1691,-828.2894814907637,-0.28376340568928793,-0.2866053569172193,-0.0028419512279313497,0.49928951219301715,0.4991627168755224
2021,6254,294,3740,-1847.8732758027109,3219,152,1924,-967.3900660972314,-0.2954706229297587,-0.30052502829985445,-0.005054405370095771,0.49873639865747604,0.5001314598234639
2022,31795,1981,18419,-8548.796779321729,14320,799,8460,-4004.6309075754725,-0.2688723629288167,-0.2796529963390693,-0.010780633410252594,0.4973048416474368,0.4955033736770389
2023,58015,3469,34836,-16249.337135855138,18654,1016,11660,-5509.298372010582,-0.280088548407397,-0.29534139444679863,-0.015252846039401635,0.4961867884901496,0.4925172591675931
2024,72779,4012,41840,-20184.019426751674,17086,895,10139,-4796.606296230194,-0.27733301401161975,-0.28073313216845336,-0.003400118156833609,0.49914997046079157,0.4946843937268347
