year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,176,2274,-1069.592299336819,2746,129,1942,-916.414014564787,-0.33477067271887917,-0.33372688075920864,0.0010437919596705258,0.5002609479899176,0.49910448773404364
2015,4527,233,3270,-1530.0036891019179,3102,169,2185,-1038.5540801353834,-0.33797298190897235,-0.33480144427317327,0.003171537635799082,0.5007928844089498,0.5052401046119586
2016,5264,324,3797,-1772.8253871832856,4738,232,3448,-1642.7489064804658,-0.33678293829469713,-0.3467177936851975,-0.009934855390500374,0.4975162861523749,0.49524925631991745
2017,3570,179,2532,-1221.8865663399138,2450,120,1687,-831.8352769266015,-0.3422651446330291,-0.3395246028271843,0.0027405418058448205,0.5006851354514612,0.5048779511804722
2018,5753,303,3958,-1869.375012174268,3016,154,2054,-1006.1157502077884,-0.32493916429241576,-0.3335927553739352,-0.008653591081519418,0.4978366022296201,0.5013368068603119
2019,4235,266,2944,-1374.9347023159603,2312,132,1578,-785.0975666440186,-0.3246599060958584,-0.3395750720778627,-0.01491516598200432,0.4962712085044989,0.501729235690387
2020,5084,287,3565,-1701.1940736909535,2890,173,2034,-988.6908521623378,-0.33461724502182405,-0.342107561301847,-0.007490316280022946,0.4981274209299943,0.5002058156534239
2021,6254,322,4484,-2166.6721455747434,3219,148,2332,-1136.9699517218537,-0.34644581796845914,-0.3532059495874041,-0.006760131618944953,0.49830996709526376,0.4967556271907694
2022,31795,2373,21803,-9883.046324412666,14320,961,10073,-4599.639640003684,-0.3108364939271164,-0.3212038854751176,-0.010367391548001204,0.4974081521129997,0.49369738135629704
2023,58015,4776,40093,-17920.952303662943,18654,1368,13296,-6020.177282946816,-0.3089020478094104,-0.3227284916343313,-0.013826443824920931,0.49654338904376977,0.4923306136346821
2024,72779,4767,50539,-23715.91734930623,17086,1076,12053,-5664.297254481101,-0.32586209413850464,-0.3315168707995494,-0.005654776661044747,0.49858630583473884,0.4966154676306856
