year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,246,1875,-1226.39121495823,2746,226,1612,-1051.33329268047,-0.3838470156363787,-0.3828599026513001,0.0009871129850785865,0.5002467782462696,0.5012812490382939
2015,4527,366,2748,-1811.13361480985,3102,245,1845,-1203.874921556358,-0.40007369445766516,-0.3880963641380909,0.011977330319574264,0.5029943325798936,0.5025950038005366
2016,5264,437,3252,-2092.69000715059,4738,370,2915,-1928.26515693604,-0.3975474937596106,-0.40697871611144787,-0.009431222351837243,0.4976421944120407,0.49940449059598335
2017,3570,280,2041,-1331.5719650206,2450,166,1336,-878.57714006827,-0.3729893459441456,-0.35860291431357955,0.014386431630566077,0.5035966079076415,0.5039315726290516
2018,5753,463,3105,-1960.131693198335,3016,246,1581,-1029.4963988268998,-0.34071470418882926,-0.34134495982324264,-0.0006302556344133792,0.49984243609139667,0.5041498501992502
2019,4235,381,2264,-1393.74038826261,2312,179,1255,-803.19480479869,-0.32910044587074616,-0.3474025972312673,-0.018302151360521157,0.4954244621598697,0.4948075438245303
2020,5084,470,2794,-1744.1938646146305,2890,241,1579,-1024.30259949974,-0.3430751110571657,-0.3544299652248235,-0.011354854167657802,0.49716128645808555,0.49853614977716915
2021,6254,497,3554,-2265.2375939034,3219,227,1834,-1221.08347410268,-0.36220620305458906,-0.379336276515278,-0.017130073460688955,0.49571748163482776,0.49739595053077185
2022,31795,3330,17105,-10279.543253703525,14320,1440,7829,-4848.995001973036,-0.32330691158054803,-0.33861696941152486,-0.015310057830976831,0.4961724855422558,0.49677125072808437
2023,58015,6543,31769,-18723.28000171522,18654,2007,10622,-6365.4516874766505,-0.32273170734663825,-0.3412378946862148,-0.01850618733957654,0.49537345316510584,0.4932468346931087
2024,72779,6859,38977,-24298.30835742172,17086,1644,9264,-5798.4101635652305,-0.3338642789461482,-0.33936615729633796,-0.005501878350189782,0.4986245304124526,0.49883236375413487
