date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.34498852,0,0,0,0.0,-0.34498852,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.262448,0,0,0,0.0,-0.262448,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,2,-1.3787555100000002,,-0.45958517000000004,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,1,0,0.38742325,,0.38742325,,,
2014-01-16,2014-01-16,2014-01,2014,11,0,5,-3.129649992000001,0,0,0,0.0,-0.2845136356363637,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.7334707992999999,0,0,0,0.0,-0.36673539964999996,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,1,-1.32140644,,-0.4404688133333334,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,10,-5.363736422,13,1,10,-5.3671432,-0.3831240301428571,-0.41285716923076926,-0.02973313908791214,0.492566715228022,0.4876373626373627
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.15911583699999998,1,0,1,-0.17638451,-0.07955791849999999,-0.17638451,-0.0968265915,0.475793352125,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,0.017268673,0,0,0,0.0,0.017268673,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,0.023520336,0,0,0,0.0,0.023520336,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.521873,0,0,0,0.0,-0.521873,,,,
2014-01-28,2014-01-28,2014-01,2014,9,1,3,-2.4884571529999997,0,0,0,0.0,-0.2764952392222222,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-0.6054066180000001,0,0,0,0.0,-0.15135165450000002,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,0,-0.11732471,0,0,0,0.0,-0.11732471,,,,
2014-01-31,2014-01-31,2014-01,2014,24,1,18,-10.868794230999999,0,0,0,0.0,-0.4528664262916666,,,,
2014-02-01,2014-02-01,2014-02,2014,6,0,5,-2.81359742,0,0,0,0.0,-0.4689329033333333,,,,
2014-02-02,2014-02-02,2014-02,2014,60,4,48,-29.39988569,0,0,0,0.0,-0.48999809483333334,,,,
2014-02-03,2014-02-03,2014-02,2014,10,0,8,-4.599895085,2,0,2,-1.5102787000000002,-0.4599895085,-0.7551393500000001,-0.2951498415000001,0.42621253962499994,0.45
2014-02-04,2014-02-04,2014-02,2014,1,0,0,0.017268673,0,0,0,0.0,0.017268673,,,,
2014-02-05,2014-02-05,2014-02,2014,7,0,1,-1.247145817,1,0,0,0.117114216,-0.17816368814285716,0.117114216,0.29527790414285715,0.5738194760357143,0.5357142857142857
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,4,-3.09711465,0,0,0,0.0,-0.61942293,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,0,-0.18407255,0,0,0,0.0,-0.18407255,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.82771534,0,0,0,0.0,-0.82771534,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,2,-0.4808803669999999,2,0,1,-0.338612174,-0.08014672783333332,-0.169306087,-0.08915935916666667,0.47771016020833335,0.41666666666666663
2014-02-13,2014-02-13,2014-02,2014,3,0,1,-0.508897372,0,0,0,0.0,-0.16963245733333332,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,1,1,-0.19736354000000006,,-0.09868177000000003,,,
2014-02-15,2014-02-15,2014-02,2014,10,1,8,-5.003580313,2,0,2,-1.28475898,-0.5003580313,-0.64237949,-0.14202145870000005,0.464494635325,0.425
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,1,6,-3.4752784099999996,2,0,1,-0.445902465,-0.43440980124999995,-0.2229512325,0.21145856874999994,0.5528646421875,0.53125
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,0,1,-0.935928078,7,1,2,-1.195176767,-0.1871856156,-0.17073953814285714,0.016446077457142855,0.5041115193642857,0.5142857142857142
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.8391931,1,0,1,-0.8391931,-0.8391931,-0.8391931,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,-0.039235488,0,0,0,0.0,-0.039235488,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,1,-0.19748500000000002,1,0,1,-0.14852053,-0.09874250000000001,-0.14852053,-0.04977803,0.4875554925,0.375
2014-03-04,2014-03-04,2014-03,2014,29,1,17,-11.723954575,25,2,17,-8.341371045999999,-0.40427429568965517,-0.33365484183999994,0.07061945384965523,0.5176548634624139,0.48793103448275865
2014-03-05,2014-03-05,2014-03,2014,38,1,24,-11.9347668795,4,0,2,-0.9840388850000001,-0.31407281261842107,-0.24600972125000004,0.06806309136842104,0.5170157728421052,0.5263157894736842
2014-03-06,2014-03-06,2014-03,2014,18,1,9,-5.2162612710000005,1,0,1,-0.8398516,-0.28979229283333335,-0.8398516,-0.5500593071666666,0.36248517320833334,0.3611111111111111
2014-03-07,2014-03-07,2014-03,2014,1,0,1,-0.5347701,0,0,0,0.0,-0.5347701,,,,
