date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.68165135,0,0,0,0.0,-0.68165135,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.82945263,0,0,0,0.0,-0.82945263,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,3,-2.58019353,,-0.86006451,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,0,0,-0.31903878,,-0.31903878,,,
2014-01-16,2014-01-16,2014-01,2014,11,2,5,-3.3001501060000002,0,0,0,0.0,-0.300013646,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.842350693,0,0,0,0.0,-0.4211753465,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,2,-1.7439421599999998,,-0.5813140533333333,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,9,-7.002648956999999,13,1,9,-6.9015909629999985,-0.5001892112142856,-0.5308916125384614,-0.030702401324175788,0.492324399668956,0.489010989010989
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.11343239999999999,1,0,1,-0.17864332,-0.056716199999999994,-0.17864332,-0.12192712,0.46951822,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,0.06521092,0,0,0,0.0,0.06521092,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,0.06274399,0,0,0,0.0,0.06274399,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.98223394,0,0,0,0.0,-0.98223394,,,,
2014-01-28,2014-01-28,2014-01,2014,9,2,5,-3.37785965,0,0,0,0.0,-0.37531773888888886,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-1.43789954,0,0,0,0.0,-0.359474885,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,1,-0.727231,0,0,0,0.0,-0.727231,,,,
2014-01-31,2014-01-31,2014-01,2014,24,4,16,-12.3141026873,0,0,0,0.0,-0.5130876119708333,,,,
2014-02-01,2014-02-01,2014-02,2014,6,2,4,-1.7557027785000001,0,0,0,0.0,-0.29261712975000004,,,,
2014-02-02,2014-02-02,2014-02,2014,60,7,41,-28.325585417960006,0,0,0,0.0,-0.47209309029933344,,,,
2014-02-03,2014-02-03,2014-02,2014,10,1,6,-5.149259895,2,0,2,-1.95909354,-0.5149259895,-0.97954677,-0.4646207805,0.383844804875,0.375
2014-02-04,2014-02-04,2014-02,2014,1,0,0,0.06521092,0,0,0,0.0,0.06521092,,,,
2014-02-05,2014-02-05,2014-02,2014,7,2,1,0.061749427999999884,1,1,0,0.45724988,0.00882134685714284,0.45724988,0.44842853314285713,0.6121071332857143,0.7142857142857143
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,4,-3.538610892,0,0,0,0.0,-0.7077221784,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,1,-0.81577027,0,0,0,0.0,-0.81577027,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.9975715,0,0,0,0.0,-0.9975715,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,4,-2.30717513,2,0,0,-0.291137657,-0.3845291883333333,-0.1455688285,0.23896035983333333,0.5597400899583334,0.625
2014-02-13,2014-02-13,2014-02,2014,3,0,1,-1.189752414,0,0,0,0.0,-0.396584138,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,0,2,-1.06709355,,-0.533546775,,,
2014-02-15,2014-02-15,2014-02,2014,10,1,8,-5.74820163,2,0,2,-1.88490274,-0.5748201629999999,-0.94245137,-0.36763120700000007,0.40809219825,0.425
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,2,6,-5.00177619,2,0,1,-1.16653545,-0.62522202375,-0.583267725,0.04195429875000001,0.5104885746875,0.5
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,1,3,-1.6057402280000002,7,1,5,-3.3452521300000004,-0.32114804560000004,-0.47789316142857147,-0.15674511582857142,0.4608137210428571,0.4571428571428572
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.9227583,1,0,1,-0.9227583,-0.9227583,-0.9227583,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,-0.25305182,0,0,0,0.0,-0.25305182,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,1,-0.44321591000000005,1,0,1,-0.2528264,-0.22160795500000002,-0.2528264,-0.031218444999999984,0.49219538875,0.375
2014-03-04,2014-03-04,2014-03,2014,29,5,14,-10.064496985,25,5,17,-10.604318513,-0.3470516201724138,-0.42417274052000004,-0.07712112034758623,0.48071971991310347,0.4575862068965517
2014-03-05,2014-03-05,2014-03,2014,38,5,27,-17.404852246,4,0,3,-2.3068996840000002,-0.45802242752631583,-0.5767249210000001,-0.11870249347368422,0.47032437663157894,0.45723684210526316
2014-03-06,2014-03-06,2014-03,2014,18,2,10,-5.519041809999998,1,0,1,-0.9975058,-0.3066134338888888,-0.9975058,-0.6908923661111113,0.3272769084722222,0.3611111111111111
2014-03-07,2014-03-07,2014-03,2014,1,0,1,-0.9524475,0,0,0,0.0,-0.9524475,,,,
