date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.3947225469188893,0,0,0,0.0,-0.3947225469188893,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.4527370052451903,0,0,0,0.0,-0.4527370052451903,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,3,-1.5934868094601562,,-0.5311622698200521,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,1,0,0.0084977943338061,,0.0084977943338061,,,
2014-01-16,2014-01-16,2014-01,2014,11,0,6,-3.4862818964725353,0,0,0,0.0,-0.3169347178611396,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.6131240047352136,0,0,0,0.0,-0.3065620023676068,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,3,-1.2238777130437912,,-0.40795923768126374,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,11,-5.413272140492869,13,1,10,-5.026963939129077,-0.3866622957494906,-0.38668953377915977,-2.7238029669141017e-05,0.49999319049258273,0.5054945054945055
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.4733392835699367,1,0,1,-0.269270372510437,-0.23666964178496835,-0.269270372510437,-0.03260073072546865,0.49184981731863286,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,-0.2040689110594997,0,0,0,0.0,-0.2040689110594997,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,-0.0092720729420876,0,0,0,0.0,-0.0092720729420876,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.3539463624107312,0,0,0,0.0,-0.3539463624107312,,,,
2014-01-28,2014-01-28,2014-01,2014,9,0,6,-2.719485288559871,0,0,0,0.0,-0.30216503206220785,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-1.167023881375572,0,0,0,0.0,-0.291755970343893,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,1,-0.3182722632422505,0,0,0,0.0,-0.3182722632422505,,,,
2014-01-31,2014-01-31,2014-01,2014,24,3,19,-8.6371692425806,0,0,0,0.0,-0.35988205177419164,,,,
2014-02-01,2014-02-01,2014-02,2014,6,0,6,-2.240129616932818,0,0,0,0.0,-0.3733549361554697,,,,
2014-02-02,2014-02-02,2014-02,2014,60,4,47,-21.151720929228706,0,0,0,0.0,-0.3525286821538118,,,,
2014-02-03,2014-02-03,2014-02,2014,10,0,9,-3.80521097993218,2,0,2,-1.044469266067949,-0.380521097993218,-0.5222346330339745,-0.14171353504075657,0.46457161623981086,0.475
2014-02-04,2014-02-04,2014-02,2014,1,0,0,-0.2040689110594997,0,0,0,0.0,-0.2040689110594997,,,,
2014-02-05,2014-02-05,2014-02,2014,7,0,3,-1.4229179983827007,1,0,1,-0.0619851056753335,-0.20327399976895724,-0.0619851056753335,0.14128889409362375,0.535322223523406,0.35714285714285715
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,4,-2.4578152739980483,0,0,0,0.0,-0.49156305479960966,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,1,-0.29432315432175,0,0,0,0.0,-0.29432315432175,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.6783459625448338,0,0,0,0.0,-0.6783459625448338,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,4,-2.0103564101749565,2,0,1,-0.46908214461254283,-0.3350594016958261,-0.23454107230627141,0.10051832938955468,0.5251295823473887,0.5
2014-02-13,2014-02-13,2014-02,2014,3,0,3,-1.1720341139822852,0,0,0,0.0,-0.39067803799409506,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,1,1,-0.39288345323695606,,-0.19644172661847803,,,
2014-02-15,2014-02-15,2014-02,2014,10,0,9,-4.478839378505339,2,0,2,-0.6339311741187269,-0.4478839378505339,-0.31696558705936345,0.13091835079117042,0.5327295876977927,0.475
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,0,8,-3.4830125244559924,2,0,2,-0.6708916597028335,-0.43537656555699905,-0.33544582985141674,0.09993073570558231,0.5249826839263956,0.5
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,1,2,-1.2948185812173518,7,1,4,-2.3131968965199063,-0.25896371624347037,-0.3304566995028438,-0.07149298325937342,0.48212675418515666,0.44285714285714284
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.6388084521474544,1,0,1,-0.6388084521474544,-0.6388084521474544,-0.6388084521474544,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,-0.251650590595691,0,0,0,0.0,-0.251650590595691,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,2,-0.66041363685186,1,0,1,-0.3844681125719545,-0.33020681842593,-0.3844681125719545,-0.054261294146024486,0.48643467646349386,0.5
2014-03-04,2014-03-04,2014-03,2014,29,3,21,-8.983626023931734,25,4,20,-7.665913948772356,-0.30978020772178394,-0.3066365579508943,0.003143649770889656,0.5007859124427224,0.49517241379310345
