date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.657566701120616,0,0,0,0.0,-0.657566701120616,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.8815786563470912,0,0,0,0.0,-0.8815786563470912,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,2,-2.0204227845833533,,-0.6734742615277844,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,0,1,-0.8051950401977515,,-0.8051950401977515,,,
2014-01-16,2014-01-16,2014-01,2014,11,1,9,-5.533357259254096,0,0,0,0.0,-0.5030324781140088,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.9291899674980196,0,0,0,0.0,-0.4645949837490098,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,3,-2.270740218455849,,-0.7569134061519497,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,10,-8.884697051487997,13,1,9,-8.231210896634042,-0.6346212179634284,-0.6331700689718495,0.0014511489915789433,0.5003627872478947,0.5068681318681318
2014-01-23,2014-01-23,2014-01,2014,2,0,2,-1.1634044359751208,1,0,1,-0.8411187216894063,-0.5817022179875604,-0.8411187216894063,-0.2594165037018459,0.43514587407453853,0.5
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,1,-0.3222857142857144,0,0,0,0.0,-0.3222857142857144,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,-0.0337090725140412,0,0,0,0.0,-0.0337090725140412,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.8173502551146503,0,0,0,0.0,-0.8173502551146503,,,,
2014-01-28,2014-01-28,2014-01,2014,9,0,6,-5.484571235662901,0,0,0,0.0,-0.6093968039625445,,,,
2014-01-29,2014-01-29,2014-01,2014,4,0,3,-2.061545900352129,0,0,0,0.0,-0.5153864750880323,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,1,-0.7038093118676699,0,0,0,0.0,-0.7038093118676699,,,,
2014-01-31,2014-01-31,2014-01,2014,24,1,23,-18.206142110105088,0,0,0,0.0,-0.758589254587712,,,,
2014-02-01,2014-02-01,2014-02,2014,6,0,5,-2.8661656348261593,0,0,0,0.0,-0.4776942724710265,,,,
2014-02-02,2014-02-02,2014-02,2014,60,1,50,-42.9103206103747,0,0,0,0.0,-0.7151720101729117,,,,
2014-02-03,2014-02-03,2014-02,2014,10,0,10,-7.615749816615786,2,0,2,-1.3256854994230556,-0.7615749816615786,-0.6628427497115278,0.09873223195005076,0.5246830579875127,0.5
2014-02-04,2014-02-04,2014-02,2014,1,0,1,-0.3222857142857144,0,0,0,0.0,-0.3222857142857144,,,,
2014-02-05,2014-02-05,2014-02,2014,7,0,7,-2.8768910395379956,1,0,1,-0.3722815056902615,-0.41098443421971365,-0.3722815056902615,0.03870292852945212,0.5096757321323631,0.5
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,5,-4.524286011903483,0,0,0,0.0,-0.9048572023806966,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,1,-0.3329149082842728,0,0,0,0.0,-0.3329149082842728,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.9993803260099516,0,0,0,0.0,-0.9993803260099516,,,,
2014-02-12,2014-02-12,2014-02,2014,6,0,6,-3.3199606544630345,2,0,1,-1.079844155487549,-0.553326775743839,-0.5399220777437745,0.013404698000064497,0.5033511745000161,0.625
2014-02-13,2014-02-13,2014-02,2014,3,0,3,-1.6682373687403633,0,0,0,0.0,-0.5560791229134544,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,0,2,-1.1476774531375071,,-0.5738387265687536,,,
2014-02-15,2014-02-15,2014-02,2014,10,0,10,-8.534842537685202,2,0,2,-1.881804995712547,-0.8534842537685202,-0.9409024978562734,-0.08741824408775323,0.4781454389780617,0.5
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,0,8,-7.031637619572604,2,0,2,-1.2393982902294713,-0.8789547024465755,-0.6196991451147357,0.2592555573318398,0.56481388933296,0.5
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,0,3,-2.8730111649911123,7,0,5,-4.753110329592271,-0.5746022329982224,-0.6790157613703245,-0.10441352837210205,0.47389661790697446,0.4714285714285714
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.9731852723089036,1,0,1,-0.9731852723089036,-0.9731852723089036,-0.9731852723089036,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,1,-0.3943647911202215,0,0,0,0.0,-0.3943647911202215,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,2,-1.5617464436928479,1,0,1,-0.8923482333774323,-0.7808732218464239,-0.8923482333774323,-0.11147501153100836,0.4721312471172479,0.5
2014-03-04,2014-03-04,2014-03,2014,29,1,27,-19.68058837805447,25,3,22,-15.983452387225933,-0.6786409785536024,-0.6393380954890373,0.039302883064565086,0.5098257207661413,0.5341379310344827
