date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.4758230088495575,0,0,0,0.0,-0.4758230088495575,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,0,-0.2936965811965812,0,0,0,0.0,-0.2936965811965812,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,1,2,-1.2661914579955715,,-0.42206381933185716,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,0,1,-0.2461333333333334,,-0.2461333333333334,,,
2014-01-16,2014-01-16,2014-01,2014,11,0,4,-1.9232037993547477,0,0,0,0.0,-0.1748367090322498,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.5686745449396237,0,0,0,0.0,-0.28433727246981183,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,3,-1.6944714240006036,,-0.5648238080002012,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,0,9,-4.959927026915431,13,0,9,-4.662456803132608,-0.3542805019225308,-0.35865052331789293,-0.004370021395362134,0.49890749465115947,0.4876373626373627
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.4603868996802609,1,0,1,-0.5666666666666667,-0.23019344984013046,-0.5666666666666667,-0.3364732168265362,0.415881695793366,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,0.1062797669864057,0,0,0,0.0,0.1062797669864057,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,0.010565433564959,0,0,0,0.0,0.010565433564959,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.4359999999999999,0,0,0,0.0,-0.4359999999999999,,,,
2014-01-28,2014-01-28,2014-01,2014,9,0,7,-3.9709599669009448,0,0,0,0.0,-0.441217774100105,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-0.8072385919863936,0,0,0,0.0,-0.2018096479965984,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,0,-0.018402327383667,0,0,0,0.0,-0.018402327383667,,,,
2014-01-31,2014-01-31,2014-01,2014,24,1,17,-9.12725532720324,0,0,0,0.0,-0.38030230530013504,,,,
2014-02-01,2014-02-01,2014-02,2014,6,0,6,-2.8393225433538176,0,0,0,0.0,-0.47322042389230295,,,,
2014-02-02,2014-02-02,2014-02,2014,60,2,48,-23.64875622588373,0,0,0,0.0,-0.39414593709806217,,,,
2014-02-03,2014-02-03,2014-02,2014,10,0,7,-3.8204874194800156,2,0,1,-0.9692790424056776,-0.38204874194800154,-0.4846395212028388,-0.10259077925483728,0.4743523051862907,0.55
2014-02-04,2014-02-04,2014-02,2014,1,0,0,0.1062797669864057,0,0,0,0.0,0.1062797669864057,,,,
2014-02-05,2014-02-05,2014-02,2014,7,1,2,-0.7657609740776311,1,0,1,-0.0363558242314472,-0.10939442486823302,-0.0363558242314472,0.07303860063678583,0.5182596501591965,0.2857142857142857
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,5,-2.8415152292090387,0,0,0,0.0,-0.5683030458418077,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,0,0.0491731715895217,0,0,0,0.0,0.0491731715895217,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.676,0,0,0,0.0,-0.676,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,1,-0.19652147537786158,2,0,2,-0.978,-0.032753579229643594,-0.489,-0.4562464207703564,0.3859383948074109,0.25
2014-02-13,2014-02-13,2014-02,2014,3,0,1,-0.332538076917938,0,0,0,0.0,-0.11084602563931267,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,1,1,-0.060412485957735185,,-0.030206242978867592,,,
2014-02-15,2014-02-15,2014-02,2014,10,0,9,-5.005961844310235,2,0,1,-0.3776029031616624,-0.5005961844310235,-0.1888014515808312,0.3117947328501923,0.5779486832125481,0.6
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,0,8,-4.040379312286754,2,0,1,-0.2558086341443994,-0.5050474140358443,-0.1279043170721997,0.37714309696364456,0.5942857742409111,0.625
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,0,2,-0.951884392933564,7,0,4,-1.860529823239141,-0.1903768785867128,-0.26578997474844873,-0.07541309616173594,0.48114672595956604,0.4571428571428572
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.744,1,0,1,-0.744,-0.744,-0.744,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,0.0576966422539204,0,0,0,0.0,0.0576966422539204,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,1,-0.3495444985340747,1,0,1,-0.44,-0.17477224926703736,-0.44,-0.2652277507329627,0.4336930623167593,0.375
2014-03-04,2014-03-04,2014-03,2014,29,1,19,-8.852860961044048,25,1,17,-8.897887448416405,-0.3052710676222085,-0.3559154979366562,-0.05064443031444771,0.48733889242138806,0.49517241379310345
2014-03-05,2014-03-05,2014-03,2014,38,0,26,-12.870737850880646,4,0,4,-1.6071666666666669,-0.33870362765475387,-0.4017916666666667,-0.06308803901191284,0.4842279902470218,0.42105263157894735
