date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.3964441477571876,0,0,0,0.0,-0.3964441477571876,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.4754378577270832,0,0,0,0.0,-0.4754378577270832,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,3,-1.569277625641742,,-0.5230925418805806,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,0,1,-0.0059427149153482,,-0.0059427149153482,,,
2014-01-16,2014-01-16,2014-01,2014,11,0,6,-3.1984785554673376,0,0,0,0.0,-0.29077077776975796,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.696891752510574,0,0,0,0.0,-0.348445876255287,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,0,2,-1.1417783609686614,,-0.3805927869895538,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,9,-5.494852790718628,13,1,9,-5.112352567668514,-0.3924894850513306,-0.39325788982065496,-0.0007684047693243823,0.4998078988076689,0.489010989010989
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.4473152146581711,1,0,1,-0.236208908555033,-0.22365760732908554,-0.236208908555033,-0.012551301225947442,0.4968621746935131,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,-0.2111063061031381,0,0,0,0.0,-0.2111063061031381,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,0.0218258862741322,0,0,0,0.0,0.0218258862741322,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.3901081946763305,0,0,0,0.0,-0.3901081946763305,,,,
2014-01-28,2014-01-28,2014-01,2014,9,0,5,-3.0380959313543423,0,0,0,0.0,-0.3375662145949269,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-0.8095672479983502,0,0,0,0.0,-0.20239181199958756,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,1,-0.2708980642204868,0,0,0,0.0,-0.2708980642204868,,,,
2014-01-31,2014-01-31,2014-01,2014,24,2,16,-7.842383275100202,0,0,0,0.0,-0.32676596979584177,,,,
2014-02-01,2014-02-01,2014-02,2014,6,1,5,-1.8849135272912039,0,0,0,0.0,-0.31415225454853396,,,,
2014-02-02,2014-02-02,2014-02,2014,60,3,44,-20.243441574670197,0,0,0,0.0,-0.33739069291116996,,,,
2014-02-03,2014-02-03,2014-02,2014,10,0,9,-3.656495785544928,2,0,2,-1.1913171535714733,-0.36564957855449276,-0.5956585767857366,-0.23000899823124388,0.44249775044218903,0.475
2014-02-04,2014-02-04,2014-02,2014,1,0,0,-0.2111063061031381,0,0,0,0.0,-0.2111063061031381,,,,
2014-02-05,2014-02-05,2014-02,2014,7,1,2,-0.9883694142929093,1,1,0,0.0604601946962527,-0.14119563061327275,0.0604601946962527,0.20165582530952547,0.5504139563273813,0.7857142857142857
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,0,4,-2.4275104098316107,0,0,0,0.0,-0.48550208196632216,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,0,-0.2687363118633402,0,0,0,0.0,-0.2687363118633402,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.5668039135054637,0,0,0,0.0,-0.5668039135054637,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,4,-2.1041810514098827,2,0,2,-0.5180964848842385,-0.3506968419016471,-0.25904824244211927,0.09164859945952786,0.522912149864882,0.375
2014-02-13,2014-02-13,2014-02,2014,3,0,3,-1.2251941911306403,0,0,0,0.0,-0.4083980637102134,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,1,1,-0.3334198543903257,,-0.16670992719516284,,,
2014-02-15,2014-02-15,2014-02,2014,10,0,8,-4.505102027092474,2,0,2,-0.6071623957337702,-0.4505102027092474,-0.3035811978668851,0.14692900484236232,0.5367322512105905,0.45
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,0,8,-3.5706824911990145,2,0,2,-0.7308355653089265,-0.4463353113998768,-0.36541778265446323,0.08091752874541358,0.5202293821863534,0.5
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,0,3,-1.4345505774373775,7,0,5,-2.4276776029171803,-0.28691011548747547,-0.34681108613102574,-0.059900970643550266,0.48502475733911243,0.4714285714285714
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.6512777565390306,1,0,1,-0.6512777565390306,-0.6512777565390306,-0.6512777565390306,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,-0.3246573682029669,0,0,0,0.0,-0.3246573682029669,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,1,-0.6463573031667574,1,0,1,-0.3869433726979815,-0.3231786515833787,-0.3869433726979815,-0.0637647211146028,0.4840588197213493,0.375
2014-03-04,2014-03-04,2014-03,2014,29,4,17,-7.521145588944851,25,4,20,-7.387181537841051,-0.25934984789465004,-0.295487261513642,-0.036137413618991976,0.490965646595252,0.4520689655172414
