date,date,year_month,year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01-01,2014-01-01,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-02,2014-01-02,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-03,2014-01-03,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-04,2014-01-04,2014-01,2014,1,0,1,-0.2892364,0,0,0,0.0,-0.2892364,,,,
2014-01-05,2014-01-05,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-06,2014-01-06,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-07,2014-01-07,2014-01,2014,1,0,1,-0.49051648,0,0,0,0.0,-0.49051648,,,,
2014-01-08,2014-01-08,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-09,2014-01-09,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-10,2014-01-10,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-11,2014-01-11,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-12,2014-01-12,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-13,2014-01-13,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-14,2014-01-14,2014-01,2014,0,0,0,0.0,3,0,2,-1.33839799,,-0.44613266333333335,,,
2014-01-15,2014-01-15,2014-01,2014,0,0,0,0.0,1,0,1,-0.30814463,,-0.30814463,,,
2014-01-16,2014-01-16,2014-01,2014,11,1,4,-2.7426782800000002,0,0,0,0.0,-0.2493343890909091,,,,
2014-01-17,2014-01-17,2014-01,2014,2,0,1,-0.73281583,0,0,0,0.0,-0.366407915,,,,
2014-01-18,2014-01-18,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-19,2014-01-19,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-20,2014-01-20,2014-01,2014,0,0,0,0.0,3,1,2,-1.005584976,,-0.33519499199999997,,,
2014-01-21,2014-01-21,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-22,2014-01-22,2014-01,2014,14,1,7,-5.558783855,13,1,7,-5.267688925,-0.3970559896428571,-0.40520684038461535,-0.008150850741758253,0.49796228731456044,0.49175824175824173
2014-01-23,2014-01-23,2014-01,2014,2,0,1,-0.64565351,1,0,1,-0.44629943,-0.322826755,-0.44629943,-0.12347267499999998,0.46913183125,0.375
2014-01-24,2014-01-24,2014-01,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-01-25,2014-01-25,2014-01,2014,1,0,0,-0.19935408,0,0,0,0.0,-0.19935408,,,,
2014-01-26,2014-01-26,2014-01,2014,1,0,0,-0.0820542,0,0,0,0.0,-0.0820542,,,,
2014-01-27,2014-01-27,2014-01,2014,1,0,1,-0.42615554,0,0,0,0.0,-0.42615554,,,,
2014-01-28,2014-01-28,2014-01,2014,9,1,3,-2.6774623600000003,0,0,0,0.0,-0.2974958177777778,,,,
2014-01-29,2014-01-29,2014-01,2014,4,1,2,-1.20259785613,0,0,0,0.0,-0.3006494640325,,,,
2014-01-30,2014-01-30,2014-01,2014,1,0,0,-0.21652894,0,0,0,0.0,-0.21652894,,,,
2014-01-31,2014-01-31,2014-01,2014,24,3,17,-11.62958669,0,0,0,0.0,-0.48456611208333333,,,,
2014-02-01,2014-02-01,2014-02,2014,6,0,6,-3.5602826999999997,0,0,0,0.0,-0.59338045,,,,
2014-02-02,2014-02-02,2014-02,2014,60,6,41,-25.499328011000003,0,0,0,0.0,-0.4249888001833334,,,,
2014-02-03,2014-02-03,2014-02,2014,10,1,5,-4.0397099185,2,0,2,-1.20695475,-0.40397099184999996,-0.603477375,-0.19950638315000002,0.45012340421249997,0.35
2014-02-04,2014-02-04,2014-02,2014,1,0,0,-0.19935408,0,0,0,0.0,-0.19935408,,,,
2014-02-05,2014-02-05,2014-02,2014,7,0,2,-0.8565915930000001,1,0,1,-0.049092203,-0.12237022757142858,-0.049092203,0.07327802457142858,0.5183195061428572,0.3214285714285714
2014-02-06,2014-02-06,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-07,2014-02-07,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-08,2014-02-08,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-09,2014-02-09,2014-02,2014,5,1,3,-1.9956800000000001,0,0,0,0.0,-0.39913600000000005,,,,
2014-02-10,2014-02-10,2014-02,2014,1,0,0,-0.19935408,0,0,0,0.0,-0.19935408,,,,
2014-02-11,2014-02-11,2014-02,2014,1,0,1,-0.91453266,0,0,0,0.0,-0.91453266,,,,
2014-02-12,2014-02-12,2014-02,2014,6,1,1,-1.273103066,2,0,1,-0.32313213,-0.21218384433333334,-0.161566065,0.050617779333333335,0.5126544448333333,0.375
2014-02-13,2014-02-13,2014-02,2014,3,0,1,-0.9675669,0,0,0,0.0,-0.3225223,,,,
2014-02-14,2014-02-14,2014-02,2014,0,0,0,0.0,2,0,2,-0.733316625,,-0.3666583125,,,
2014-02-15,2014-02-15,2014-02,2014,10,1,7,-5.302846110000001,2,0,1,-0.96754074,-0.5302846110000001,-0.48377037,0.04651424100000012,0.51162856025,0.525
2014-02-16,2014-02-16,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-17,2014-02-17,2014-02,2014,8,0,8,-4.77523631,2,0,1,-0.60764465,-0.59690453875,-0.303822325,0.29308221375000004,0.5732705534375,0.625
2014-02-18,2014-02-18,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-19,2014-02-19,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-20,2014-02-20,2014-02,2014,5,1,2,-1.0845523330000002,7,1,4,-2.94018342,-0.21691046660000005,-0.4200262028571428,-0.20311573625714277,0.4492210659357143,0.44285714285714284
2014-02-21,2014-02-21,2014-02,2014,1,0,1,-0.8905388,1,0,1,-0.8905388,-0.8905388,-0.8905388,0.0,0.5,0.5
2014-02-22,2014-02-22,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-23,2014-02-23,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-24,2014-02-24,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-25,2014-02-25,2014-02,2014,1,0,0,-0.24324745,0,0,0,0.0,-0.24324745,,,,
2014-02-26,2014-02-26,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-27,2014-02-27,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-02-28,2014-02-28,2014-02,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-01,2014-03-01,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-02,2014-03-02,2014-03,2014,0,0,0,0.0,0,0,0,0.0,,,,,
2014-03-03,2014-03-03,2014-03,2014,2,0,1,-0.9281230100000001,1,0,1,-0.7186801,-0.46406150500000004,-0.7186801,-0.254618595,0.43634535125,0.375
2014-03-04,2014-03-04,2014-03,2014,29,3,18,-13.373502482000001,25,5,16,-9.724826272999998,-0.461155258,-0.3889930509199999,0.0721622070800001,0.51804055177,0.5193103448275862
2014-03-05,2014-03-05,2014-03,2014,38,7,18,-12.811216104000003,4,1,2,-0.21695364999999994,-0.3371372658947369,-0.054238412499999986,0.2828988533947369,0.5707247133486842,0.5098684210526316
2014-03-06,2014-03-06,2014-03,2014,18,3,10,-4.360262692000001,1,0,1,-0.9290362,-0.24223681622222226,-0.9290362,-0.6867993837777777,0.32830015405555557,0.3472222222222222
2014-03-07,2014-03-07,2014-03,2014,1,0,1,-0.999204,0,0,0,0.0,-0.999204,,,,
