year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,4,43,-24.5544762733,21,2,14,-7.856266410000001,-0.34103439268472224,-0.3741079242857143,-0.03307353160099208,0.491731617099752,0.49255952380952384
2014-02,125,7,86,-53.435151007,19,2,10,-5.69417151,-0.42748120805600004,-0.2996932373684211,0.12778797068757897,0.5319469926718947,0.5527368421052632
2014-03,202,14,117,-66.0649478975,91,3,59,-33.028446562,-0.32705419751237624,-0.3629499622197802,-0.035895764707403965,0.491026058823149,0.4736290936785986
2014-04,168,16,85,-45.8615492348,126,8,74,-41.0437000825,-0.27298541211190475,-0.3257436514484127,-0.05275823933650797,0.486810440165873,0.47172619047619047
2014-05,89,4,47,-26.437200379820002,43,3,21,-12.413678512,-0.2970471952788764,-0.2886901979534884,0.008356997325388027,0.502089249331347,0.516135354063235
2014-06,100,4,58,-33.41975086005,127,9,68,-36.066286614,-0.3341975086005,-0.28398650877165355,0.05021099982884647,0.5125527499572116,0.5188582677165354
2014-07,157,14,84,-41.0280873579,31,2,19,-11.909982833,-0.26132539718407644,-0.38419299461290324,-0.1228675974288268,0.4692831006427933,0.47436819395931784
2014-08,328,18,172,-101.48566187342,70,11,31,-14.5753166787,-0.3094075057116463,-0.2082188096957143,0.10118869601593203,0.525297174003983,0.5459494773519163
2014-09,296,18,170,-99.97893958979999,132,5,76,-43.812028061599996,-0.3377666878033784,-0.3319093034969697,0.005857384306408697,0.5014643460766022,0.4939086814086814
2014-10,537,26,343,-202.0202336884,324,15,209,-116.83576236315001,-0.376201552492365,-0.3606042048245371,0.015597347667827888,0.503899336916957,0.4978877853645079
2014-11,547,26,343,-205.0457043065,523,19,315,-185.03973521455,-0.3748550352952468,-0.3538044650373805,0.021050570257866275,0.5052626425644666,0.5033897742247825
2014-12,574,33,330,-198.8726933634,1239,74,712,-422.990958261,-0.34646810690487806,-0.3413970607433414,0.005071046161536641,0.5012677615403842,0.500622551625032
2015-01,594,28,371,-222.883029221,720,35,406,-252.63643991879997,-0.3752239549175084,-0.35088394433166664,0.02434001058584173,0.5060850026464604,0.5155408249158249
2015-02,614,44,354,-196.39029023659998,335,18,206,-119.25909169859997,-0.3198538928934853,-0.3559972886525372,-0.0361433957590519,0.49096415106023705,0.48592299090864893
2015-03,318,15,166,-95.87189270258,183,11,93,-55.761646328,-0.3014839393162893,-0.3047084498797814,-0.0032245105634921,0.499193872359127,0.5066888339004021
2015-04,227,20,133,-77.71049063883,133,8,71,-41.7359510459,-0.34233696316665196,-0.31380414320225564,0.028532819964396328,0.507133204991099,0.5060282865754695
2015-05,100,7,71,-42.6699032425,50,3,19,-11.5810610759,-0.42669903242499996,-0.231621221518,0.19507781090699997,0.54876945272675,0.58
2015-06,205,12,117,-63.5163809944,343,15,218,-134.37782414309999,-0.3098360048507317,-0.3917720820498542,-0.08193607719912249,0.4795159807002194,0.4800895968143355
2015-07,387,16,289,-171.08093629887998,255,14,160,-94.25741588649998,-0.44206960283948316,-0.369636925045098,0.07243267779438517,0.5181081694485963,0.5332193342453261
2015-08,147,4,101,-63.5354745615,63,0,43,-23.63026518,-0.4322141126632653,-0.37508357428571426,0.057130538377551054,0.5142826345943877,0.49433106575963714
2015-09,357,17,234,-137.43092728150003,136,11,81,-43.054173241300006,-0.38496058062044824,-0.316574803244853,0.06838577737559526,0.5170964443438988,0.5232843137254902
2015-10,401,17,241,-145.46102427002,220,7,140,-82.2699858444,-0.3627456964339651,-0.37395448111090906,-0.011208784676943973,0.497197803830764,0.48851450918159145
2015-11,558,22,400,-241.5806110505,153,4,106,-67.61317375,-0.4329401631729391,-0.4419161683006536,-0.008976005127714515,0.49775599871807136,0.5026881720430108
2015-12,619,37,375,-226.86767778032004,511,28,276,-159.4409802013,-0.36650674924122784,-0.31201757377945205,0.054489175461775785,0.513622293865444,0.5151797767373043
2016-01,622,40,364,-202.57704407996002,671,48,385,-211.82608012540013,-0.3256865660449518,-0.3156871536891209,0.00999941235583085,0.5024998530889577,0.5046662130237061
2016-02,792,35,526,-316.06420582370004,609,25,390,-225.0093295495,-0.3990709669491162,-0.36947344753612477,0.029597519412991435,0.5073993798532479,0.5051515773498532
2016-03,405,19,262,-162.21170891237,318,18,210,-122.6948725232577,-0.4005227380552346,-0.38583293246307454,0.014689805592160043,0.50367245139804,0.4990566037735849
2016-04,347,21,225,-126.3840219099,775,30,467,-280.83810194022,-0.36421908331383285,-0.3623717444389935,0.0018473388748393438,0.5004618347187099,0.5060063214650925
2016-05,523,24,351,-210.63601253170003,182,10,111,-60.779466922199994,-0.40274572185793506,-0.3339531149571428,0.06879260690079225,0.517198151725198,0.5175734876977707
2016-06,332,21,225,-122.99812786208,300,14,179,-98.11374691995,-0.3704762887412048,-0.3270458230665,0.04343046567470482,0.5108576164186762,0.5161144578313253
2016-07,487,23,312,-184.79999726719998,265,9,188,-118.11875576253998,-0.37946611348501025,-0.44573115382090556,-0.06626504033589531,0.4834337399160262,0.47948936499941885
2016-08,250,14,149,-88.78915182919,373,18,242,-141.7050992772,-0.35515660731676,-0.37990643237855226,-0.02474982506179224,0.49381254373455197,0.48486595174262737
2016-09,331,28,171,-94.68055661550001,411,22,243,-140.3502848372,-0.28604397769033235,-0.34148487794939175,-0.0554409002590594,0.48613977493523514,0.47357781845179026
2016-10,491,13,315,-197.52815575956,306,11,199,-118.95503723360999,-0.40229766957140534,-0.3887419517438235,0.013555717827581859,0.5033889294568955,0.5001730495321006
2016-11,271,16,154,-87.6389170014,325,16,205,-124.11601041350002,-0.32339083764354243,-0.3818954166569231,-0.058504579013380686,0.48537385524665483,0.48192165767811523
2016-12,413,28,251,-140.10805575069998,203,8,120,-69.40281319530001,-0.3392446870476997,-0.34188577928719216,-0.0026410922394924374,0.4993397269401269,0.4970568589797111
2017-01,356,23,238,-145.32258083110003,197,13,113,-61.6220915589,-0.4082094967165731,-0.31280249522284265,0.09540700149373044,0.5238517503734326,0.5240795927679234
2017-02,396,23,245,-141.50142972715003,267,18,165,-101.0962009455,-0.35732684274532833,-0.3786374567247191,-0.02131061397939077,0.4946723465051523,0.5025110657133129
2017-03,456,27,281,-163.1008934007,285,19,158,-97.5639573828,-0.3576773978085526,-0.34232967502736844,0.015347722781184181,0.503836930695296,0.5173245614035088
2017-04,207,12,118,-70.8499278849,117,6,61,-37.17454834921,-0.34227018301884055,-0.3177311824718803,0.024539000546960232,0.50613475013674,0.51049795615013
2017-05,269,11,165,-96.53421592299999,47,1,22,-13.690791605,-0.3588632562193308,-0.2912934384042553,0.06756981781507548,0.5168924544537689,0.5314205489203512
2017-06,98,4,57,-33.9020832107,80,5,43,-26.048105437,-0.3459396245989796,-0.3256013179625,0.020338306636479564,0.5050845766591199,0.516454081632653
2017-07,170,8,93,-53.09685127,269,14,143,-88.67783327049999,-0.31233441923529415,-0.32965737275278806,-0.01732295351749391,0.4956692616206265,0.5051115241635687
2017-08,240,14,142,-85.06088692384,161,4,85,-50.23737017631999,-0.35442036218266665,-0.3120333551324223,0.04238700705024434,0.5105967517625611,0.5075569358178054
2017-09,212,16,119,-74.34153848577,108,6,61,-34.5873366903,-0.3506676343668396,-0.3202531175027778,0.030414516864061825,0.5076036292160154,0.4941474493361286
2017-10,349,15,191,-116.3620849125,337,20,160,-93.5118962153,-0.3334157160816619,-0.2774833715587537,0.055932344522908184,0.5139830861307271,0.5222169318017567
2017-11,535,21,292,-178.32447198440002,246,13,130,-75.01727755799999,-0.3333167700642991,-0.30494828275609753,0.028368487308201573,0.5070921218270504,0.5077330749943013
2017-12,282,20,138,-81.0642745136,336,12,178,-107.36032143231999,-0.2874619663602837,-0.31952476616761905,-0.03206279980733534,0.4919843000481662,0.48109802431610943
2018-01,631,24,336,-191.89881189027,70,6,31,-18.072583253999998,-0.3041185608403645,-0.2581797607714285,0.04593880006893597,0.511484700017234,0.5343275979171384
2018-02,247,11,132,-72.8548213822,179,5,95,-59.27849745136,-0.29495879102105266,-0.3311647902310615,-0.03620599921000883,0.4909485001974978,0.496771311605184
2018-03,486,32,294,-169.43596891290002,104,12,46,-22.285751669,-0.3486336808907408,-0.2142860737403846,0.1343476071503562,0.533586901787589,0.5530428933206711
2018-04,351,28,173,-95.84114850920001,290,25,157,-90.5932614857,-0.27305170515441596,-0.3123905568472414,-0.039338851692825416,0.49016528707679363,0.4894832498280774
2018-05,228,8,112,-65.4302570253,193,11,92,-48.173310207,-0.2869748115144737,-0.2496026435595855,0.03737216795488818,0.509343041988722,0.5091128079265521
2018-06,294,15,150,-93.5981130598,179,12,98,-59.13760399368,-0.3183609287748299,-0.3303776759423464,-0.012016747167516495,0.49699581320812086,0.49468418652377155
2018-07,496,26,287,-169.68301699678,132,4,61,-39.1411899012,-0.3421028568483468,-0.2965241659181818,0.04557869093016498,0.5113946727325412,0.5235978739002932
2018-08,867,44,465,-269.43955739943397,459,35,222,-131.2648786028,-0.3107722692034994,-0.2859801276749455,0.024792141528553857,0.5061980353821385,0.5195437652185058
2018-09,496,33,243,-136.6666466054,555,27,314,-194.2440324296,-0.2755375939625,-0.3499892476209009,-0.0744516536584009,0.48138708658539975,0.4765674949142691
2018-10,678,39,417,-244.1603486704,261,12,147,-89.7759457405,-0.36011850836342185,-0.34396914076819923,0.01614936759522262,0.5040373418988057,0.5100701861458651
2018-11,425,36,222,-126.26720950910001,325,18,164,-96.27946748579998,-0.29709931649200005,-0.29624451534092305,0.0008548011510770004,0.5002137002877692,0.49710407239819004
2018-12,554,31,294,-168.2175705555,269,19,133,-75.20266841662,-0.3036418241074007,-0.2795638231101115,0.024078000997289184,0.5060195002493223,0.5127343550789795
2019-01,507,40,253,-148.5327823815,225,14,114,-65.79391256714,-0.29296406781360945,-0.2924173891872889,0.0005466786263205736,0.5001366696565801,0.49391847468770544
2019-02,248,11,152,-85.5092961398,232,11,99,-55.965903294200004,-0.34479554895080644,-0.24123234178534483,0.10356320716546161,0.5258908017913654,0.547309510567297
2019-03,288,17,145,-86.0567754756,96,5,54,-33.261014882,-0.2988082481791667,-0.34646890502083333,-0.04766065684166665,0.48808483578958334,0.4835069444444444
2019-04,247,11,135,-77.7471047732,133,7,67,-38.7046194876,-0.31476560636923073,-0.2910121765984962,0.023753429770734524,0.5059383574426837,0.5127241179872759
2019-05,288,20,161,-88.20734941508701,241,19,120,-62.04681164318,-0.30627551880238546,-0.25745564997170123,0.04881986883068423,0.5122049672076711,0.5176240491009682
2019-06,414,31,215,-120.17994593064,179,5,106,-63.0139611055,-0.29028972447014495,-0.3520333022653631,-0.06174357779521816,0.48456410555119545,0.47004965859714465
2019-07,406,40,202,-105.29914434722,195,6,119,-67.87604522800001,-0.2593574983921675,-0.3480822832205129,-0.0887247848283454,0.47781880379291364,0.4548818997094859
2019-08,472,41,260,-145.7533281202,158,12,76,-43.1755789631,-0.30879942398347454,-0.2732631579943038,0.03553626598917076,0.5088840664972927,0.5147299399270543
