year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,12,41,-25.8010461702,21,2,13,-8.8094737416,-0.358347863475,-0.4194987496,-0.061150886125000026,0.48471227846875,0.4697420634920635
2014-02,125,25,79,-51.25863296086001,19,4,12,-6.8743428920000005,-0.4100690636868801,-0.36180752063157895,0.04826154305530117,0.5120653857638253,0.5027368421052631
2014-03,202,31,105,-57.80294514878001,91,19,54,-34.330184623,-0.28615319380584164,-0.3772547760769231,-0.09110158227108145,0.47722460443222964,0.4954303122619954
2014-04,168,31,80,-45.9014405395,126,20,66,-37.4273582857,-0.27322286035416665,-0.29704252607698417,-0.023819665722817518,0.4940450835692956,0.4816468253968254
2014-05,89,15,47,-24.022019481999997,43,4,25,-15.0082810695,-0.26991033125842695,-0.3490297923139535,-0.07911946105552653,0.48022013473611835,0.46779461719362425
2014-06,100,13,55,-33.348192330399996,127,21,58,-30.955602867,-0.33348192330399995,-0.24374490446456692,0.08973701883943302,0.5224342547098583,0.5321653543307087
2014-07,157,24,88,-52.07711144894999,31,4,20,-13.456019555,-0.3317013468085987,-0.43406514693548387,-0.10236380012688517,0.4744090499682787,0.47287856996096156
2014-08,328,53,187,-106.54829398230001,70,20,31,-10.7379282815,-0.32484235970213415,-0.15339897545,0.17144338425213415,0.5428608460630335,0.5628484320557491
2014-09,296,45,173,-107.0960265854,132,21,68,-37.3474873699,-0.36181090062635135,-0.28293551037803033,0.07887539024832102,0.5197188475620802,0.5190929565929566
2014-10,537,76,330,-211.3966547518,324,50,187,-116.0644549875,-0.39366229935158287,-0.35822362650462963,0.035438672846953234,0.5088596682117383,0.5125396579074419
2014-11,547,62,349,-222.33366950946998,523,61,313,-195.94927032914,-0.40646009051091403,-0.37466399680523904,0.03179609370567499,0.5079490234264188,0.5107111272681514
2014-12,574,100,329,-198.6880929866,1239,190,700,-430.93208657462606,-0.3461465034609756,-0.347806365274113,-0.001659861813137431,0.49958503454671566,0.4968331069509242
2015-01,594,81,368,-241.81869488319998,720,103,424,-256.88662651319993,-0.4071021799380471,-0.35678698126833325,0.050315198669713845,0.5125787996674285,0.5093329124579125
2015-02,614,92,352,-204.94880360342,335,54,205,-122.16185160999997,-0.3337928397449837,-0.3646622436119402,-0.030869403866956524,0.49228264903326086,0.49317662501823134
2015-03,318,48,173,-103.35373578590001,183,28,105,-63.569102689420006,-0.32501174775440256,-0.3473721458438252,-0.02236039808942264,0.4944099004776443,0.49307918342097123
2015-04,227,34,124,-72.37035880410001,133,15,71,-46.43890123490001,-0.31881215332202645,-0.3491646709390978,-0.030352517617071362,0.49241187059573216,0.4938557848365407
2015-05,100,6,70,-50.73720026549999,50,11,20,-8.4043953425,-0.5073720026549999,-0.16808790685000002,0.3392840958049999,0.58482102395125,0.615
2015-06,205,39,103,-57.071763068799996,343,43,224,-141.60860234609999,-0.2783988442380488,-0.41285306806443145,-0.13445422382638267,0.46638644404340435,0.446124582237076
2015-07,387,50,266,-180.9755598777,255,34,157,-98.79313615586999,-0.4676371056271318,-0.3874240633563529,0.08021304227077891,0.5200532605676947,0.5189466484268126
2015-08,147,25,94,-61.84875499,63,11,40,-27.4322872006,-0.4207398298639456,-0.43543313016825397,-0.014693300304308377,0.4963266749239229,0.5022675736961452
2015-09,357,53,223,-143.9107834902,136,30,70,-40.57749428499999,-0.40311143834789914,-0.29836392856617644,0.1047475097817227,0.5261868774454307,0.5455182072829131
2015-10,401,68,226,-135.3165290936,220,39,126,-77.6123201584,-0.3374477034753117,-0.3527832734472727,-0.015335569971961005,0.49616610750700973,0.4996401042847427
2015-11,558,73,365,-256.08963913935,153,16,100,-70.4242034917,-0.4589420056260753,-0.4602889117104575,-0.0013469060843822045,0.49966327347890443,0.4935694707990723
2015-12,619,92,379,-236.55617031449998,511,79,272,-152.7172967098,-0.3821585950153473,-0.29885968044970646,0.08329891456564087,0.5208247286414103,0.5214900619331098
2016-01,622,109,348,-192.60705382393,671,115,368,-208.94889792314999,-0.30965764280374597,-0.31139925174836064,-0.0017416089446146699,0.4995645977638463,0.5017987981656212
2016-02,792,113,497,-322.15452027410004,609,87,361,-228.97789608177004,-0.40676075792184346,-0.3759899771457636,0.030770780776079865,0.5076926951940199,0.5087326466636811
2016-03,405,48,264,-180.3465965421,318,40,195,-135.03740104609997,-0.44530023837555555,-0.4246459152393081,0.020654323136247432,0.5051635807840619,0.5114779874213836
2016-04,347,49,218,-133.1160554834,775,102,450,-277.55537563499996,-0.38361975643631124,-0.35813596856129026,0.02548378787502098,0.5063709469687553,0.5094998605559171
2016-05,523,68,317,-210.67382853409998,182,31,106,-57.5790526031,-0.40281802778986614,-0.31636842089615386,0.08644960689371228,0.521612401723428,0.5160028785745803
2016-06,332,61,201,-118.3996137372,300,36,169,-106.01992938760002,-0.3566253425819277,-0.3533997646253334,0.0032255779565942833,0.5008063944891485,0.4945883534136546
2016-07,487,79,274,-166.1742130867,265,22,191,-138.265804744,-0.3412201500753594,-0.5217577537509435,-0.18053760367558408,0.45486559908110397,0.44066870714036654
2016-08,250,36,162,-104.8295484271,373,48,236,-153.510563994,-0.41931819370839996,-0.41155647183378014,0.00776172187461982,0.501940430468655,0.4999946380697051
2016-09,331,60,165,-90.50610582214,411,53,245,-158.00725559519998,-0.27343234387353477,-0.3844458773605839,-0.11101353348704912,0.47224661662823775,0.46251681478377843
2016-10,491,55,310,-214.2543925469,306,44,186,-124.98773080659998,-0.43636332494276986,-0.4084566366228758,0.02790668831989407,0.5069766720799735,0.5138239953143511
2016-11,271,42,151,-87.728102052,325,39,212,-135.43920285599995,-0.3237199337712177,-0.4167360087876922,-0.09301607501647446,0.4767459812458814,0.4674765824581323
