year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,10,43,-31.4810580433,21,1,15,-11.723408753,-0.4372369172680555,-0.5582575596666667,-0.12102064239861116,0.4697448394003472,0.4479166666666667
2014-02,125,17,81,-57.48399611746001,19,2,13,-10.179523487,-0.4598719689396801,-0.5357643940526317,-0.07589242511295158,0.4810268937217621,0.48326315789473684
2014-03,202,31,116,-71.8385966135,91,13,59,-41.5293868711,-0.35563661689851483,-0.45636688869340664,-0.1007302717948918,0.474817432051277,0.4788243934283538
2014-04,168,22,91,-56.31512035086,126,17,71,-47.1866898453,-0.3352090497075,-0.3744975384547619,-0.03928848874726193,0.4901778778131845,0.4955357142857143
2014-05,89,13,43,-30.029671858,43,1,27,-21.1670801158,-0.3374120433483146,-0.49225767711162793,-0.15484563376331334,0.4612885915591717,0.4331068722236739
2014-06,100,14,57,-39.742407294,127,12,70,-46.0569751529,-0.39742407294000004,-0.36265334766062995,0.034770725279370085,0.5086926813198425,0.49332677165354333
2014-07,157,16,95,-62.93450810499999,31,3,23,-17.098198333,-0.40085673952229295,-0.5515547849354838,-0.15069804541319087,0.4623254886467023,0.4645058557633039
2014-08,328,42,194,-129.4768525781,70,10,37,-19.50200103395,-0.3947465017625,-0.2786000147707143,0.1161464869917857,0.5290366217479464,0.5194250871080139
2014-09,296,29,190,-133.3395113523,132,12,77,-54.16370206013001,-0.45047132213614866,-0.4103310762131061,0.04014024592304255,0.5100350614807606,0.5128736691236692
2014-10,537,62,355,-256.30307859814,324,37,206,-149.2724504284,-0.47728692476376167,-0.46071743959382716,0.016569485169934506,0.5041423712924836,0.5060047244637561
2014-11,547,56,357,-266.2117871517,523,52,325,-241.11532569414,-0.4866760276996343,-0.46102356729281074,0.025652460406823563,0.506413115101706,0.5070714238275174
2014-12,574,69,364,-258.53469968490003,1239,147,764,-546.5466154165299,-0.45040888446846694,-0.4411191407720177,0.009289743696449249,0.5023224359241123,0.5039887596212524
2015-01,594,56,392,-296.39898267448996,720,73,444,-333.0478567292,-0.49898818632069014,-0.4625664676794445,0.03642171864124566,0.5091054296603115,0.512594696969697
2015-02,614,69,377,-260.86848387195,335,41,215,-152.7390089449,-0.4248672375764658,-0.45593734013402987,-0.031070102557564094,0.49223247436060896,0.4955564198551218
2015-03,318,23,194,-140.55491722674,183,23,107,-80.25018265669999,-0.4419965950526415,-0.4385255882879781,0.003471006764663387,0.5008677516911658,0.5196798639034952
2015-04,227,23,144,-100.51988877480001,133,8,77,-56.806373328599996,-0.44281889328105734,-0.4271155889368421,0.01570330434421524,0.5039258260860539,0.5035606637739724
2015-05,100,8,73,-54.927986835,50,9,25,-14.938734469,-0.54927986835,-0.29877468938,0.25050517896999996,0.5626262947425,0.5825
2015-06,205,27,114,-76.80874036059998,343,35,239,-175.621208082,-0.3746767822468292,-0.5120151839125364,-0.1373384016657072,0.4656653995835732,0.45740951432837945
2015-07,387,46,262,-191.1634015966,255,34,157,-112.0741611283,-0.49396227802739023,-0.43950651422862747,0.05445576379876277,0.5136139409496907,0.5189466484268126
2015-08,147,12,98,-77.01553547705,63,5,46,-34.2016977664,-0.5239152073268707,-0.5428840915301588,-0.018968884203288128,0.495257778949178,0.4835600907029478
2015-09,357,33,243,-177.14347650654,136,24,82,-51.7980438436,-0.4962002143040336,-0.3808679694382353,0.1153322448657983,0.5288330612164496,0.5404411764705882
2015-10,401,56,243,-166.14785012260003,220,28,138,-95.7481753402,-0.4143337908294265,-0.43521897881909094,-0.020885187989664433,0.49477870300258386,0.49158354114713215
2015-11,558,62,391,-299.30077620565004,153,10,108,-86.316199668,-0.5363813193649642,-0.5641581677647058,-0.027776848399741594,0.4930557879000646,0.48727071473750794
2015-12,619,77,393,-284.96677290628,511,56,292,-202.04106787647,-0.4603663536450404,-0.395383694474501,0.06498265917053941,0.5162456647926349,0.5121653193554404
2016-01,622,83,372,-255.65562575928996,671,80,393,-276.165441092844,-0.41102190636541797,-0.41157293754522206,-0.0005510311798040957,0.499862242205049,0.49954056670228725
2016-02,792,85,503,-374.5348335037,609,62,382,-276.26435632039005,-0.4728975170501262,-0.45363605307124805,0.01926146397887818,0.5048153659947195,0.5005815544608648
2016-03,405,36,285,-220.17891813915,318,27,215,-157.42332791055003,-0.5436516497262963,-0.49504191166839634,0.048609738057899976,0.512152434514475,0.5059049615653389
2016-04,347,39,223,-156.54989503483,775,96,500,-371.57556155270004,-0.4511524352588761,-0.4794523374873549,-0.02829990222847878,0.49292502444288033,0.5022422608533978
2016-05,523,49,349,-259.15758343140004,182,24,112,-74.4036937143,-0.4955211920294456,-0.4088115039247253,0.0867096881047203,0.5216774220261801,0.5225243208034795
2016-06,332,45,223,-153.7375508879,300,31,191,-136.38564646939997,-0.4630649123129518,-0.4546188215646666,0.008446090748285229,0.5021115226870713,0.50070281124498
2016-07,487,60,300,-208.01229872800002,265,19,200,-160.60029253584,-0.4271299768542095,-0.6060388397578867,-0.17890886290367725,0.4552727842740807,0.4524485684398125
2016-08,250,22,171,-125.73368693702999,373,42,240,-180.21706033773,-0.50293474774812,-0.4831556577419035,0.01977909000621647,0.5049447725015541,0.5162922252010724
2016-09,331,33,203,-136.00147243122,411,38,254,-190.2782394967,-0.41088058136320244,-0.46296408636666664,-0.0520835050034642,0.48697912374913394,0.4970119302269169
