year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,4,38,-26.696403056383133,21,0,11,-8.10454834997654,-0.37078337578309906,-0.3859308738084066,-0.01514749802530757,0.49621312549367314,0.4871031746031746
2014-02,125,13,74,-44.81355636194348,19,3,13,-8.560455560684204,-0.3585084508955479,-0.45055029266758967,-0.09204184177204178,0.47698953955698953,0.490421052631579
2014-03,202,22,123,-69.34782064706087,91,6,61,-36.01888608932495,-0.34330604280723204,-0.39581193504752693,-0.052505892240294894,0.48687352693992625,0.4739010989010989
2014-04,168,13,93,-56.56338977441192,126,11,68,-42.08292515575886,-0.336686843895309,-0.3339914694901497,0.002695374405159323,0.5006738436012899,0.5059523809523809
2014-05,89,13,43,-22.944892033934593,43,2,24,-13.59155486524105,-0.25780777566218643,-0.3160826712846756,-0.058274895622489165,0.4854312760943777,0.45636268617716225
2014-06,100,11,57,-33.15571065247059,127,11,70,-42.04035475105047,-0.3315571065247059,-0.33102641536260213,0.0005306911621037469,0.500132672790526,0.4988582677165354
2014-07,157,14,85,-53.906560733914375,31,4,19,-11.225964434444904,-0.34335389002493233,-0.3621278849820937,-0.018773994957161366,0.49530650126070963,0.4920895829052805
2014-08,328,33,182,-108.59593775123358,70,14,36,-18.08218015730381,-0.3310851760708341,-0.25831685939005444,0.07276831668077965,0.5181920791701949,0.5349956445993032
2014-09,296,22,177,-112.77590631321073,132,9,70,-44.907969169318676,-0.3809996834905768,-0.34021188764635363,0.04078779584422315,0.5101969489610558,0.5153818591318592
2014-10,537,44,345,-220.24126936867833,324,27,203,-123.3481019474566,-0.4101327176325481,-0.38070401835634754,0.029428699276200565,0.5073571748190502,0.5043278846817022
2014-11,547,53,342,-206.9646623134613,523,45,325,-210.14616747573018,-0.3783631852165655,-0.40180911563237126,-0.023445930415805782,0.4941385173960485,0.4982408828268917
2014-12,574,69,362,-224.1413274668157,1239,111,763,-488.45307122543454,-0.39049011753800644,-0.3942316959043055,-0.00374157836629907,0.49906460540842523,0.4960555325892242
