year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,5,50,-24.242714899605247,21,2,17,-8.105101039809655,-0.33670437360562844,-0.38595719237188836,-0.04925281876625992,0.487686795308435,0.4776785714285714
2014-02,125,6,98,-45.58405287747961,19,2,14,-6.2252481520817025,-0.3646724230198369,-0.3276446395832475,0.03702778343658936,0.5092569458591474,0.5261052631578947
2014-03,202,8,145,-64.80897792169185,91,6,75,-31.033787343521745,-0.32083652436481114,-0.3410306301485906,-0.020194105783779448,0.4949514735540551,0.47999401588510504
2014-04,168,9,104,-48.85998223293045,126,7,90,-40.01044024841557,-0.29083322757696695,-0.31754317657472675,-0.026709948997759803,0.49332251275056005,0.4766865079365079
2014-05,89,3,60,-27.427447933414832,43,0,33,-14.06254551804763,-0.3081735722855599,-0.32703594228017746,-0.018862369994617545,0.4952844075013456,0.4682518944342827
2014-06,100,3,76,-32.81922928237046,127,4,91,-42.04224390970221,-0.3281922928237046,-0.3310412906275764,-0.0028489978038718222,0.49928775054903207,0.5112401574803149
2014-07,157,8,107,-47.03605002515507,31,2,22,-11.004340681007827,-0.29959267531945905,-0.35497873164541377,-0.055386056325954724,0.4861534859185113,0.49635298952126566
2014-08,328,17,235,-107.73428778242474,70,4,44,-19.91288383980718,-0.328458194458612,-0.2844697691401026,0.04398842531850944,0.5109971063296274,0.523301393728223
2014-09,296,8,221,-102.76118485032775,132,2,91,-42.11372935878678,-0.34716616503489106,-0.3190434042332332,0.028122760801657876,0.5070306902004145,0.5113380425880426
2014-10,537,16,413,-189.76023158678734,324,11,252,-116.42728087475074,-0.35337100854150344,-0.35934345948997143,-0.005972450948467989,0.498506887262883,0.4988663011242155
2014-11,547,21,406,-189.6458023556716,523,8,382,-178.11600450362596,-0.3467016496447379,-0.3405659741943135,0.006135675450424372,0.5015339188626061,0.4971834899905971
2014-12,574,27,426,-201.70221302261805,1239,51,903,-416.6897142972066,-0.35139758366309765,-0.3363113109743395,0.015086272688758173,0.5037715681721895,0.501867654875096
2015-01,594,17,448,-212.91097463131018,720,20,504,-243.00867088561014,-0.35843598422779493,-0.33751204289668074,0.020923941331114193,0.5052309853327785,0.5133417508417508
2015-02,614,22,443,-200.69999729230267,335,19,254,-117.57632235269183,-0.3268729597594506,-0.3509740965751995,-0.024101136815748936,0.4939747157960628,0.496043803782391
2015-03,318,8,227,-103.45653614879586,183,12,125,-57.48453129480599,-0.32533501933583603,-0.31412312182954094,0.011211897506295088,0.5028029743765737,0.5177982266213011
2015-04,227,7,167,-73.16713274790632,133,2,87,-45.440929301423246,-0.3223221706956226,-0.3416611225670921,-0.0193389518714695,0.4951652620321326,0.5164370176542679
2015-05,100,4,80,-39.4956387992175,50,1,26,-13.864912096234775,-0.39495638799217503,-0.2772982419246955,0.11765814606747954,0.5294145365168699,0.565
2015-06,205,14,137,-60.11161046752729,343,13,270,-125.27016407149162,-0.29322736813427946,-0.3652191372346694,-0.07199176910038996,0.4820020577249025,0.46268221574344026
2015-07,387,17,299,-141.94689884769596,255,10,196,-89.93762815091122,-0.3667878523196278,-0.35269658098396556,0.014091271335662237,0.5035228178339155,0.4998176014591883
2015-08,147,1,115,-53.32769134841779,63,1,52,-22.76716308050249,-0.36277341053345435,-0.36138354096035696,0.001389869573097391,0.5003474673932744,0.4914965986394558
2015-09,357,10,283,-132.31130605263442,136,10,102,-41.58479450639928,-0.3706199049093401,-0.30577054784117114,0.06484935706816897,0.5162123392670422,0.5220588235294117
2015-10,401,15,302,-140.1666587769801,220,10,165,-77.04267346798088,-0.34954278996753146,-0.35019397030900395,-0.0006511803414724904,0.4998372049146319,0.5027913171616414
2015-11,558,22,441,-209.03455823570033,153,2,128,-64.22685428905167,-0.37461390364820846,-0.4197833613663508,-0.04516945771814235,0.4887076355704644,0.48184166139574114
2015-12,619,31,446,-207.8020101580567,511,18,353,-158.89007993377368,-0.33570599379330646,-0.3109394910641364,0.02476650272917008,0.5061916256822925,0.5037147219965287
2016-01,622,30,451,-195.5325489426368,671,28,475,-218.2337784843736,-0.3143610111617955,-0.3252366296339398,-0.0108756184721443,0.4972810953819639,0.5026697447299946
2016-02,792,33,603,-288.355131994228,609,23,446,-217.48256143009723,-0.3640847626189747,-0.35711422238111207,0.0069705402378626435,0.5017426350594657,0.5062789222271981
2016-03,405,12,324,-151.8582057330535,318,14,237,-115.9811429435176,-0.37495853267420615,-0.3647205752940805,0.010237957380125673,0.5025594893450314,0.5172781271837876
2016-04,347,13,262,-119.31283387344597,775,24,579,-278.3262713434672,-0.34384101980820164,-0.35913067270124804,-0.015289652893046402,0.4961775867767384,0.5003625546155992
2016-05,523,19,407,-189.77879160844535,182,9,140,-60.4631807199535,-0.3628657583335475,-0.3322152786810632,0.030650479652484297,0.5076626199131211,0.5055233962977749
2016-06,332,23,261,-110.32097765810573,300,12,214,-96.56267022448017,-0.33229210137983656,-0.3218755674149339,0.010416533964902663,0.5026041334912257,0.5108835341365462
2016-07,487,21,367,-168.45553481234217,265,8,219,-107.52774340346146,-0.34590458893704756,-0.40576506944702434,-0.05986048050997678,0.4850348798725058,0.47856146604161015
2016-08,250,10,178,-89.74312244531171,373,18,273,-135.30827714576677,-0.35897248978124685,-0.3627567751897232,-0.003784285408476362,0.4990539286478809,0.49708847184986593
2016-09,331,14,230,-101.85222369888307,411,13,303,-144.6250900966511,-0.3077106456159609,-0.35188586398211946,-0.044175218366158564,0.48895619540846036,0.4867429671937137
2016-10,491,16,364,-187.92079187143693,306,15,233,-111.16421469580065,-0.38273073700903654,-0.36328174737189756,0.01944898963713898,0.5048622474092848,0.49908483420523675
2016-11,271,12,201,-92.14311763274779,325,15,246,-119.9476486258987,-0.34001150417988113,-0.36906968807968826,-0.029058183899807133,0.4927354540250482,0.49666193585012774
2016-12,413,24,307,-139.6749308627361,203,4,149,-70.46022728680386,-0.3381959585054143,-0.34709471569854117,-0.008898757193126883,0.49777531070171827,0.49273607748184023
2017-01,356,14,268,-132.5066464615198,197,14,144,-64.27265075961793,-0.37220968107168484,-0.32625711045491335,0.04595257061677149,0.5114881426541928,0.5133961672275138
2017-02,396,19,287,-135.00576797425737,267,11,196,-96.22671275591145,-0.34092365650064993,-0.36039967324311406,-0.01947601674246413,0.49513099581438397,0.49597094540914766
2017-03,456,26,333,-154.77112879322007,285,13,197,-96.72641401889227,-0.33941037016057035,-0.33939092638207813,1.9443778492223007e-05,0.500004860944623,0.5069078947368422
2017-04,207,4,159,-70.81242678905006,117,5,81,-41.52706392730865,-0.3420890183045897,-0.35493217031887736,-0.012843152014287651,0.4967892119964281,0.5248049052396878
2017-05,269,12,197,-95.72052247464325,47,3,30,-15.892941252496588,-0.35583837351168496,-0.33814768622333163,0.017690687288353324,0.5044226718220883,0.528316064225263
2017-06,98,1,72,-33.92765670912051,80,1,58,-25.715353625491367,-0.34620057866449505,-0.3214419203186421,0.024758658345852946,0.5061896645864632,0.5029974489795919
2017-07,170,4,123,-57.93616176668815,269,12,188,-97.39014271782136,-0.34080095156875384,-0.3620451402149493,-0.021244188646195483,0.49468895283845116,0.5114312267657992
2017-08,240,13,182,-83.09446594582977,161,3,123,-59.687681495971994,-0.3462269414409574,-0.37073094096877013,-0.024503999527812736,0.49387400011804683,0.4897062629399586
2017-09,212,9,158,-76.45382624279077,108,5,81,-38.03569370883284,-0.3606312558622206,-0.3521823491558596,0.008448906706361003,0.5021122266765903,0.49978162124388537
2017-10,349,6,249,-122.11432919966526,337,7,226,-104.45201311603381,-0.3498977914030523,-0.3099466264570736,0.03995116494597872,0.5099877912364947,0.51160585989644
2017-11,535,15,392,-192.07135443012757,246,10,168,-81.28151386266178,-0.3590118774394908,-0.33041265797829994,0.028599219461190872,0.5071498048652977,0.5155991186080084
2017-12,282,14,196,-90.34593811690404,336,8,239,-120.2605273068185,-0.32037566708122,-0.3579182360321979,-0.037542568950977906,0.49061435776225554,0.4894725177304965
2018-01,631,20,400,-190.35968561831595,70,2,45,-20.753338477412115,-0.3016793749894072,-0.29647626396303023,0.005203111026376994,0.5013007777565942,0.49698324654743037
2018-02,247,12,168,-75.95929804725499,179,4,136,-67.21374581004766,-0.3075275224585222,-0.3754957866483109,-0.06796826418978869,0.4830079339525528,0.4735371949426639
2018-03,486,20,356,-166.12345724090136,104,10,69,-28.324292588660192,-0.34181781325288346,-0.2723489671986557,0.06946884605422776,0.5173672115135569,0.5310125830959165
2018-04,351,14,240,-104.60712719861156,290,15,207,-97.46318797180314,-0.29802600341484775,-0.33607995852345907,-0.038053955108611315,0.49048651122284714,0.49545141958935063
2018-05,228,5,159,-77.66884355407511,193,8,127,-61.614963350097355,-0.3406528226055926,-0.3192485147673438,0.021404307838248815,0.5053510769595622,0.5147145714025998
