year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,3,59,-45.67920767158513,21,1,16,-14.168687661560403,-0.6344334398831268,-0.6746994124552573,-0.04026597257213049,0.48993350685696735,0.5158730158730158
2014-02,125,1,112,-87.2432334707195,19,0,16,-12.772987501581566,-0.6979458677657561,-0.6722625000832403,0.02568336768251578,0.506420841920629,0.5114736842105263
2014-03,202,13,167,-116.20759400942094,91,4,83,-63.211978260688454,-0.5752851188585195,-0.6946371237438291,-0.11935200488530961,0.4701619987786726,0.47356109237297356
2014-04,168,10,130,-86.9713443229398,126,6,106,-78.69687973474794,-0.5176865733508321,-0.6245784105932376,-0.10689183724240547,0.47327704068939863,0.4801587301587302
2014-05,89,8,68,-44.82563536447839,43,0,40,-28.443629535632947,-0.5036588243199819,-0.6614797566426267,-0.15782093232264482,0.46054476691933877,0.4359811863078129
2014-06,100,4,87,-61.99693835815758,127,6,101,-73.52039320906034,-0.6199693835815758,-0.5789007339296091,0.04106864965196677,0.5102671624129917,0.520492125984252
2014-07,157,4,130,-93.62886266866806,31,1,27,-21.598798044172767,-0.5963621826029812,-0.6967354207797667,-0.10037323817678545,0.47490669045580364,0.49095952332032056
2014-08,328,24,267,-188.09555792891177,70,6,53,-36.113998920030426,-0.5734620668564383,-0.5159142702861489,0.05754779657028941,0.5143869491425723,0.5173562717770035
2014-09,296,19,246,-181.2451123799318,132,8,110,-79.52640156467928,-0.612314568851121,-0.6024727391263581,0.009841829724762885,0.5024604574311907,0.4985411547911548
2014-10,537,16,453,-346.21349003772934,324,14,276,-208.19594733583756,-0.6447178585432576,-0.642580084369869,0.0021377741733885625,0.5005344435433472,0.5012845713497482
2014-11,547,26,456,-335.9764064198401,523,21,429,-324.7264136508467,-0.6142164651185377,-0.6208918043037223,-0.006675339185184592,0.49833116520370385,0.5014978275383546
2014-12,574,29,486,-358.8298710587487,1239,55,1027,-769.5785920890381,-0.6251391481859734,-0.6211288071743649,0.004010341011608465,0.5010025852529021,0.5029159038563751
2015-01,594,20,492,-381.91490805847087,720,23,596,-442.8235697128733,-0.6429543906708264,-0.615032735712324,0.027921654958502407,0.5069804137396257,0.49969486531986534
