year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,2,43,-22.924722873859082,21,1,16,-8.435919685128784,-0.3183989288035984,-0.40171046119660875,-0.08331153239301037,0.47917211690174744,0.46378968253968256
2014-02,125,4,91,-45.64997791300074,19,1,12,-5.281988713140063,-0.3651998233040059,-0.27799940595474015,0.08720041734926576,0.5218001043373164,0.5292631578947369
2014-03,202,7,131,-62.74023832179511,91,4,60,-31.25906245699025,-0.3105952392168075,-0.3435061808460467,-0.03291094162923924,0.4917722645926902,0.49961919268849964
2014-04,168,13,91,-45.77774562741749,126,5,79,-39.9605810326168,-0.2724865811155803,-0.31714746851283176,-0.04466088739725149,0.4888347781506871,0.46924603174603174
2014-05,89,5,50,-23.40670662722743,43,0,28,-14.623319921188218,-0.2629967036767127,-0.34007720746949344,-0.07708050379278075,0.4807298740518048,0.46361379670760383
2014-06,100,5,58,-27.965651630001698,127,6,73,-37.62227380184582,-0.279656516300017,-0.2962383763924868,-0.016581860092469813,0.49585453497688253,0.5006102362204725
2014-07,157,13,102,-45.21666215550431,31,2,19,-11.245767560590098,-0.2880042175509829,-0.36276669550290636,-0.07476247795192348,0.4813093805120191,0.5046229710293816
2014-08,328,15,188,-95.45925912856048,70,4,41,-17.329917224095936,-0.2910343266114649,-0.24757024605851338,0.043464080552951506,0.5108660201382379,0.49971689895470384
2014-09,296,16,184,-93.62399149531296,132,7,77,-34.866174336421814,-0.3162972685652465,-0.26413768436683194,0.052159584198414544,0.5130398960496036,0.5093161343161343
2014-10,537,10,367,-188.4997141896136,324,14,210,-106.8869792717875,-0.3510236763307516,-0.32989808417218364,0.021125592158567963,0.505281398039642,0.5149665494172012
2014-11,547,25,342,-170.0326348516663,523,19,322,-152.79088494292745,-0.3108457675533205,-0.29214318344728,0.018702584106040476,0.5046756460265102,0.5000436939188552
2014-12,574,27,365,-175.9868341033474,1239,56,772,-387.48796365823534,-0.3065972719570512,-0.31274250497032713,-0.006145233013275908,0.49846369174668104,0.5027411956928286
2015-01,594,29,390,-204.9514378149838,720,33,438,-226.24108116149614,-0.3450360905976158,-0.3142237238354113,0.0308123667622045,0.5077030916905512,0.5113110269360269
2015-02,614,30,379,-186.84748079538673,335,13,214,-107.24857148520267,-0.3043118579729426,-0.3201449895080677,-0.01583313153512511,0.4960417171162187,0.49210097719869705
2015-03,318,14,190,-93.9977233194161,183,8,104,-49.84798547128374,-0.2955903249038242,-0.2723933632310587,0.02319696167276547,0.5057992404181914,0.5072172388906073
2015-04,227,15,135,-64.43568321592642,133,5,76,-36.36147128603867,-0.2838576353124512,-0.2733945209476592,0.01046311436479197,0.502615778591198,0.4986999436918287
2015-05,100,5,65,-34.24868710556276,50,1,24,-12.221517600090248,-0.3424868710556276,-0.24443035200180496,0.09805651905382262,0.5245141297634557,0.535
2015-06,205,11,122,-56.53404672961689,343,17,235,-119.94584791579163,-0.2757758377054482,-0.349696349608722,-0.07392051190327376,0.48151987202418156,0.4764737253786532
2015-07,387,6,286,-157.19206268314878,255,8,166,-91.28432379190147,-0.40618104052493226,-0.3579777403603979,0.048203300164534335,0.5120508250411335,0.5259765921872626
2015-08,147,6,97,-51.26454390078559,63,2,45,-21.38548282597107,-0.3487383938828952,-0.3394521083487472,0.009286285534148009,0.502321571383537,0.48412698412698413
2015-09,357,15,236,-123.77499998415442,136,9,93,-44.48987448500653,-0.34670868342900396,-0.3271314300368127,0.01957725339219124,0.5048943133480478,0.5003501400560224
2015-10,401,17,262,-129.10819305183904,220,8,151,-75.8461991248458,-0.321965568707828,-0.3447554505674809,-0.022789881859652916,0.4943025295350868,0.4902431421446384
2015-11,558,21,397,-210.5047984706452,153,6,104,-54.77787844995363,-0.37724874277893405,-0.3580253493461022,0.01922339343283186,0.504805848358208,0.5083280624077589
2015-12,619,33,395,-196.38487326790454,511,23,290,-148.11639719932847,-0.31726150770259215,-0.2898559632080792,0.027405544494512935,0.5068513861236282,0.5155773310275711
2016-01,622,34,382,-186.68211478886917,671,40,418,-201.08587391928862,-0.3001320173454488,-0.2996808851256164,0.00045113221983239526,0.5001127830549581,0.4990368073758512
2016-02,792,31,545,-282.80369225117147,609,25,401,-206.28118684854084,-0.3570753690040044,-0.3387211606708388,0.01835420833316559,0.5045885520832913,0.5078960790167687
2016-03,405,19,280,-147.66174937370866,318,15,229,-120.23358195360696,-0.36459691203384853,-0.3780930250113426,-0.01349611297749409,0.4966259717556265,0.4928721174004193
2016-04,347,18,218,-111.44338521750467,775,34,477,-247.88873800896363,-0.32116249342220365,-0.3198564361405982,0.0013060572816054328,0.5003265143204013,0.5011889932137212
2016-05,523,16,389,-198.4295949588121,182,10,130,-60.03010738563898,-0.37940649131704035,-0.32983575486614825,0.049570736450892106,0.512392684112723,0.513463114323535
2016-06,332,20,237,-110.73713316242508,300,14,180,-88.19843611216028,-0.33354558181453337,-0.2939947870405343,0.03955079477399909,0.5098876986934998,0.525070281124498
2016-07,487,18,336,-166.08505517350522,265,6,201,-105.98524851975674,-0.3410370742782448,-0.3999443340368179,-0.05890725975857308,0.4852731850603567,0.47928208903180813
2016-08,250,4,172,-91.28446254185475,373,9,265,-136.03056192546813,-0.365137850167419,-0.36469319551063845,0.00044465465678056315,0.5001111636641952,0.4964182305630027
2016-09,331,22,175,-87.35249608583607,411,12,276,-141.66461788040098,-0.2639048220115893,-0.3446827685654525,-0.08077794655386317,0.4798055133615342,0.4549749707808675
2016-10,491,21,319,-167.38073056092048,306,18,199,-100.96890945851104,-0.3408976182503472,-0.32996375640036285,0.01093386184998435,0.5027334654624961,0.5038553439026663
2016-11,271,10,176,-85.44864464346429,325,14,196,-105.94109250454679,-0.31530865182090145,-0.3259725923216824,-0.010663940500780955,0.4973340148748048,0.5131365313653137
2016-12,413,20,277,-133.43915968239452,203,5,129,-65.74880640439379,-0.3230972389404226,-0.3238857458344522,-0.0007885068940295947,0.4998028732764926,0.5028596476580112
2017-01,356,15,243,-127.25490324826686,197,13,124,-59.359542057721114,-0.357457593394008,-0.30131747237421885,0.05614012101978916,0.5140350302549472,0.5192494153881253
2017-02,396,20,257,-124.33683424032222,267,11,173,-91.66876626656385,-0.3139819046472783,-0.3433287126088534,-0.029346807961575072,0.49266329800960623,0.49793581886278515
2017-03,456,23,291,-143.19462198015574,285,14,163,-79.40007552354052,-0.31402329381613103,-0.2785967562229492,0.03542653759318182,0.5088566343982954,0.5162280701754386
2017-04,207,9,131,-64.17797117478948,117,6,76,-38.42445557342166,-0.31003850809077044,-0.3284141502001851,-0.01837564210941467,0.4954060894726463,0.4977703455964325
2017-05,269,12,167,-85.01239350267143,47,3,26,-14.65756857012683,-0.31603120261216144,-0.3118631610665283,0.004168041545633161,0.5010420103864083,0.5217116190777505
2017-06,98,2,58,-28.24383585919494,80,4,41,-20.85605104450351,-0.288202406726479,-0.26070063805629384,0.027501768670185167,0.5068754421675463,0.5272321428571428
2017-07,170,12,89,-44.88148368754127,269,14,156,-82.09180471117253,-0.2640087275737722,-0.3051739952088198,-0.04116526763504763,0.4897086830912381,0.48126503389459874
2017-08,240,12,149,-78.13593978822823,161,9,85,-43.7350796771677,-0.3255664157842843,-0.2716464576221596,0.05391995816212469,0.5134799895405312,0.5246959109730849
2017-09,212,12,128,-62.880816830096514,108,2,65,-33.73042994940286,-0.296607626557059,-0.31231879582780425,-0.01571116927074523,0.4960722076823137,0.49095911949685533
2017-10,349,9,200,-103.36940927323202,337,16,170,-89.74803842087323,-0.29618741912100865,-0.2663146540678731,0.029872765053135575,0.5074681912632839,0.5225761607985512
2017-11,535,19,292,-154.6669367451622,246,15,133,-68.68421668288421,-0.28909707802834056,-0.2792041328572529,0.009892945171087686,0.502473236292772,0.5076513942709521
2017-12,282,27,154,-71.72783751090718,336,12,192,-99.17178907811254,-0.2543540337266212,-0.29515413416104924,-0.040800100434428055,0.489799974891393,0.47866008105369806
2018-01,631,24,332,-169.40584367951584,70,4,33,-17.753339294891273,-0.26847201850953384,-0.25361913278416104,0.0148528857253728,0.5037132214313432,0.5184570975775413
2018-02,247,12,141,-66.62898114384582,179,5,90,-46.190366551134694,-0.26975296009654176,-0.25804674050913234,0.011706219587409417,0.5029265548968523,0.5118517178205505
2018-03,486,24,312,-154.0162374381144,104,13,47,-19.09697260827146,-0.3169058383500296,-0.1836247366179948,0.1332811017320348,0.5333202754330088,0.5664173789173789
2018-04,351,23,186,-85.52523904622115,290,17,154,-74.75734738197546,-0.24366164970433374,-0.2577839564895706,-0.014122306785236849,0.4964694233036908,0.49799341782100404
2018-05,228,8,123,-61.02581576836535,193,7,113,-47.47549489665614,-0.2676570867033568,-0.24598702018992818,0.02167006651342862,0.5054175166283572,0.4887907917462049
2018-06,294,13,166,-84.73849172287332,179,9,102,-51.812530650615706,-0.2882261623226984,-0.2894554784950598,-0.0012293161723614388,0.4996926709569096,0.500213772659902
2018-07,496,18,312,-147.52576779081625,132,4,64,-30.073622147720368,-0.2974309834492263,-0.2278304708160634,0.06960051263316291,0.5174001281582907,0.5345491202346041
2018-08,867,30,490,-246.45770544544052,459,19,228,-115.95143927957774,-0.28426494284364534,-0.25261751477032185,0.03164742807332349,0.5079118570183309,0.5188068691528899
2018-09,496,29,271,-123.31287105220592,555,26,329,-164.57149726735514,-0.24861465937944743,-0.29652522030154077,-0.04791056092209334,0.48802235976947667,0.48548931996512645
2018-10,678,38,445,-226.69707212024477,261,10,151,-81.82838621055815,-0.3343614633041958,-0.31351872111324963,0.020842742190946173,0.5052106855477365,0.5150162750483165
2018-11,425,25,227,-108.2242400031194,325,15,185,-84.24294515308947,-0.25464527059557507,-0.25920906200950605,-0.004563791413930984,0.49885905214651727,0.4880542986425339
2018-12,554,28,311,-147.62479720218278,269,15,142,-63.72137403923328,-0.2664707530725321,-0.23688243137261444,0.029588321699917652,0.5073970804249794,0.5096778414504851
2019-01,507,23,268,-127.67996303857564,225,12,117,-53.46588935571552,-0.25183424662440956,-0.2376261749142912,0.01420807171011837,0.5035520179275296,0.5041420118343195
