year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,4,44,-23.2497534520177,21,1,16,-8.0655601777493,-0.3229132423891347,-0.38407429417853806,-0.06116105178940334,0.4847097370526492,0.46031746031746035
2014-02,125,6,92,-44.063022706114175,19,2,15,-6.399326618648693,-0.3525041816489134,-0.33680666413940485,0.01569751750950854,0.5039243793773771,0.5009473684210526
2014-03,202,12,140,-63.68383802249204,91,5,72,-31.37437170597942,-0.315266524863822,-0.3447733154503233,-0.029506790586501297,0.4926233023533747,0.47434990751822437
2014-04,168,11,104,-46.73051184445487,126,9,88,-38.92100053784342,-0.27815780859794564,-0.308896829665424,-0.030739021067478334,0.49231524473313043,0.4816468253968254
2014-05,89,6,57,-26.73588982340453,43,1,29,-14.212072725275206,-0.3004032564427475,-0.33051331919244664,-0.03011006274969913,0.49247248431257523,0.48046772929187354
2014-06,100,7,70,-32.32930691602908,127,3,90,-41.923142329297434,-0.3232930691602908,-0.3301034829078538,-0.006810413747562971,0.49829739656310923,0.48624015748031496
2014-07,157,10,106,-49.43081990368037,31,2,21,-10.806396122555594,-0.3148459866476457,-0.34859342330824494,-0.03374743666059926,0.4915631408348502,0.49964043558660365
2014-08,328,20,236,-107.75390621872359,70,5,44,-19.200622597196354,-0.3285180067644012,-0.2742946085313765,0.05422339823302469,0.5135558495582562,0.5253484320557491
2014-09,296,11,211,-102.3533616734483,132,2,83,-40.16545876593851,-0.34578838403191997,-0.3042837785298372,0.04150460550208279,0.5103761513755207,0.515509828009828
2014-10,537,24,400,-188.4468826078319,324,17,245,-112.7299029778582,-0.35092529349689366,-0.3479317993143772,0.0029934941825164874,0.5007483735456291,0.4991206290088972
2014-11,547,30,394,-185.21611176979468,523,17,368,-178.13185417117583,-0.3386034950087654,-0.34059627948599586,-0.001992784477230447,0.4995018038806924,0.49857994763720764
2014-12,574,35,420,-199.5988943988278,1239,65,871,-414.48430583526897,-0.34773326550318434,-0.3345313202867385,0.013201945216445854,0.5033004863041115,0.5050517726726904
2015-01,594,19,438,-209.6255525420833,720,34,484,-239.71594875001654,-0.3529049706095679,-0.3329388177083563,0.019966152901211565,0.5049915382253028,0.5200968013468014
2015-02,614,32,421,-196.92818657160936,335,24,243,-113.20002500500546,-0.320729945556367,-0.33791052240300135,-0.01718057684663432,0.49570485578834145,0.49495478632894163
2015-03,318,13,209,-101.28755920499887,183,14,120,-57.608627486619305,-0.31851433712263794,-0.3148012430962804,0.003713094026357555,0.5009282735065894,0.5092793071450665
2015-04,227,14,160,-72.03268582578544,133,3,86,-45.678484045055924,-0.31732460716205035,-0.3434472484590671,-0.026122641297016747,0.4934693396757458,0.5047779139478652
2015-05,100,4,82,-39.53504797199521,50,2,25,-13.842378597114976,-0.39535047971995213,-0.27684757194229953,0.1185029077776526,0.5296257269444131,0.58
2015-06,205,18,137,-57.299366247024324,343,16,264,-123.39583796464481,-0.2795091036440211,-0.359754629634533,-0.08024552599051188,0.479938618502372,0.46436393372680085
2015-07,387,23,291,-137.64904610629077,255,16,186,-86.49532301387504,-0.3556822896803379,-0.33919734515245115,0.016484944527886736,0.5041212361319717,0.5064599483204134
2015-08,147,9,112,-51.66686751652045,63,2,50,-21.647089906239703,-0.35147528922803023,-0.3436046016863445,0.00787068754168574,0.5019676718854215,0.48469387755102045
2015-09,357,24,272,-127.12175564872344,136,16,101,-40.44000544795445,-0.3560833491560881,-0.2973529812349592,0.0587303679211289,0.5146825919802822,0.5174194677871149
2015-10,401,21,292,-132.61018907484876,220,17,152,-73.39326138647843,-0.3306987258724408,-0.333605733574902,-0.002907007702461162,0.4992732480743847,0.5155435275447744
2015-11,558,23,428,-203.07421648649864,153,3,120,-63.65705533642598,-0.3639322876102126,-0.41605918520539853,-0.052126897595185906,0.48696827560120354,0.49027514231499053
2015-12,619,33,428,-201.17321590553934,511,22,354,-159.48004319595273,-0.3249971177795466,-0.3120940179959936,0.012903099783552974,0.5032257749458883,0.49710488794185437
