year_month,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014-01,72,7,38,-26.893424021130002,21,2,13,-8.366115951,-0.37351977807125003,-0.3983864738571428,-0.02486669578589279,0.4937833260535268,0.4766865079365079
2014-02,125,11,78,-51.801924011500006,19,1,13,-7.718403318,-0.41441539209200007,-0.40623175357894736,0.008183638513052705,0.5020459096282632,0.47610526315789475
2014-03,202,27,111,-69.2671914289,91,13,57,-35.0332301358,-0.3429068882618812,-0.3849805509428571,-0.0420736626809759,0.489481584329756,0.48308127516048305
2014-04,168,21,83,-48.8499114282,126,12,75,-43.191115028999995,-0.2907732823107143,-0.34278662721428566,-0.052013344903571346,0.48699666377410716,0.46726190476190477
2014-05,89,6,48,-31.032404705999998,43,3,25,-16.043279619,-0.3486787045617977,-0.3730995260232558,-0.024420821461458075,0.4938947946346355,0.4900705513457016
2014-06,100,10,61,-38.2284190556,127,9,70,-43.1632117068,-0.382284190556,-0.33986780871496064,0.04241638184103935,0.5106040954602599,0.5074212598425197
2014-07,157,13,91,-49.0577590592,31,1,19,-12.943535649,-0.3124698029248408,-0.417533408032258,-0.10506360510741725,0.4737340987231457,0.4790425313334703
2014-08,328,23,173,-118.068597429,70,8,33,-22.321870088,-0.35996523606402436,-0.3188838584,0.041081377664024366,0.510270344416006,0.5250435540069687
2014-09,296,16,179,-114.3633706107,132,8,71,-50.95131026697,-0.3863627385496622,-0.38599477474977273,0.00036796379988945915,0.5000919909499724,0.5183507371007371
2014-10,537,27,345,-235.31613792299999,324,21,208,-135.7758738531,-0.4382050985530726,-0.41906133905277776,0.019143759500294844,0.5047859398750737,0.50375456928064
2014-11,547,32,330,-225.29256492289997,523,39,314,-205.76528255130003,-0.4118694057091407,-0.3934326626219886,0.018436743087152097,0.504609185771788,0.5047442857092921
2014-12,574,53,338,-218.21951036209998,1239,109,714,-470.06006451250005,-0.3801733630001742,-0.3793866541666667,0.0007867088335074546,0.5001966772083769,0.5020546664304415
2015-01,594,48,356,-236.60562253319998,720,49,421,-281.1651042327,-0.39832596386060604,-0.3905070892120833,0.007818874648522711,0.5019547186621307,0.5004629629629629
2015-02,614,51,357,-222.79325548424998,335,25,211,-135.36336362629999,-0.36285546495806187,-0.40406974216805963,-0.04121427720999776,0.4896964306975006,0.4857868637269678
2015-03,318,22,174,-117.6177477975,183,21,88,-57.5174403275,-0.3698671314386793,-0.3143029526092896,0.05556417882938969,0.5138910447073475,0.5279668007011032
2015-04,227,26,124,-76.34956649899999,133,7,78,-47.0945236525,-0.3363417026387665,-0.3540941628007519,-0.017752460161985395,0.49556188495950365,0.4744708688019609
2015-05,100,7,62,-43.2037940332,50,6,19,-13.1152499856,-0.432037940332,-0.262304999712,0.16973294062,0.542433235155,0.5725
2015-06,205,21,108,-71.093323898,343,24,230,-156.12619297299997,-0.3467967019414634,-0.45517840516909613,-0.10838170322763274,0.47290457419309184,0.4559517883808576
2015-07,387,29,273,-182.2612495964,255,20,159,-103.17725152749999,-0.47095930128268737,-0.4046166726568627,0.06634262862582468,0.5165856571564562,0.5213482292141662
2015-08,147,10,92,-60.828117181,63,3,44,-25.535835806999998,-0.4137967155170068,-0.40533072709523804,0.008465988421768766,0.5021164971054421,0.4767573696145124
2015-09,357,27,227,-151.16596866499998,136,18,80,-49.975414550500005,-0.4234340858963585,-0.36746628345955884,0.05596780243679966,0.5139919506091999,0.5260854341736695
2015-10,401,34,232,-156.8111148964,220,20,137,-89.4889014715,-0.39105016183640895,-0.4067677339613636,-0.01571757212495467,0.4960706069687613,0.4904868510541827
2015-11,558,40,380,-248.24910290539998,153,13,103,-71.322008097,-0.4448908654218638,-0.4661569156666666,-0.021266050244802825,0.4946834874387993,0.5052709255745309
2015-12,619,51,363,-244.15475132050005,511,39,275,-173.993635305258,-0.39443417014620363,-0.34049635089091584,0.05393781925528779,0.513484454813822,0.5105498104701416
2016-01,622,52,363,-227.6898033734,671,63,383,-247.7401897886001,-0.3660607771276527,-0.3692104169725784,-0.003149639844925667,0.4992125900387686,0.5057749627421758
2016-02,792,44,526,-339.4156030007,609,45,385,-249.85686621909997,-0.42855505429381313,-0.4102740003597701,0.018281053934043057,0.5045702634835108,0.5125733940389112
2016-03,405,34,266,-173.4453476907,318,23,216,-144.9017389435,-0.4282601177548148,-0.4556658457342767,-0.02740572797946189,0.4931485680051345,0.4914803167947822
2016-04,347,31,208,-130.64448361099,775,46,469,-327.36430039366996,-0.3764970709250432,-0.422405548895058,-0.045908477970014794,0.4885228805074963,0.4910700009296272
2016-05,523,39,340,-223.6063616752,182,18,113,-72.02258305299999,-0.42754562461797324,-0.39572847831318675,0.03181714630478649,0.5079542865761966,0.5133869476603702
